Dataset x,,,Dataset y
1,2.09E+00,0.09,2.0
2,2.10E+00,0.09,2.0
3,2.10E+00,0.09,2.0
4,2.10E+00,0.09,2.0
5,4.18E+00,0.09,4.1
6,3.60E+00,0.09,3.5
7,2.09E+00,0.09,2.0
8,2.09E+00,0.09,2.0
9,2.10E+00,0.09,2.0
10,1.04E+00,0.09,1.0
11,1.04E+00,0.09,1.0
12,3.48E+00,0.09,3.4
13,3.48E+00,0.09,3.4
14,3.48E+00,0.09,3.4
15,3.48E+00,0.09,3.4
16,4.18E+00,0.09,4.0
17,4.53E+00,0.09,4.5
18,2.09E+00,0.09,2.0
19,1.04E+00,0.09,1.0
20,1.04E+00,0.09,1.0
21,1.04E+00,0.09,1.0
22,1.04E+00,0.09,1.0
23,3.14E+00,0.09,3.0
24,3.13E+00,0.09,3.0
25,2.09E+00,0.09,2.0
26,1.03E+00,0.09,1.0
27,2.08E+00,0.09,2.0
28,4.18E+00,0.09,4.0
29,4.87E+00,0.09,4.8
30,4.87E+00,0.09,4.8
31,5.22E+00,0.09,5.1
