LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Stage,Period,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E1,,34,N,-5,W,Africa,Morocco,,Anti-Atlas Basin,Lower,,Cambrian,,,,,"Zharkov (1981,figs.1,7)","see also Lotze,1957;Holland ed.,1985,pp.107,135,323;Geyer,Landing,1995)"
E,2,E1.1,,31,N,-7,W,Africa,Morocco,,"Anti-Atlas ,W of Ouzazte",Lower,,Cambrian,,Halite,Tislit,Salt casts,"Geyer,(1989) ",
E,3,E1.2,,30,N,-8,W,Africa,Morocco,,Western Anti Atlas,Lower,,Cambrian,,Evaporite,,,"Benssaou,Hamoumi(2001)",
E,4,E2,,38,N,95.3,E,Asia,China,,N Chaidam,Lower,,Cambrian,,Halite,,Skeletal Halite crystals,Cui and Zhen(1984),
E,5,E3,,41,N,124,E,Asia,North China,,"Benxi,Liaoning Prov",Lower,,Cambrian,,Gypsum,,Gypsum mines,Xiang Li-Wen et al(1981),
E,6,E4,,42,N,126.5,E,Asia,North China,," Hunjiang,Jilin Prov",Lower,,Cambrian,,Gypsum,,Gypsum mines,Xiang Li-Wen et al(1981),
E,7,E5,,33.8,N,113,E,Asia,North China,," Lushan,Henan Prov",Lower,,Cambrian,,Gypsum,,Gypsum mines,Xiang Li-Wen et al(1981),
E,8,E6,,41,N,123,E,Asia,North China,, Taizhe,Lower,,Cambrian,,Halite,,Coveaval halite,Xiang Li-Wen et al(1981),
E,9,E7,,41.9,N,123.4,E,Asia,North China,,Hunghe,Lower,,Cambrian,,Halite,,Coveaval halite,Xiang Li-Wen et al(1981),
E,10,E8,,33.8,N,113,E,Asia,North China,," Lushan,Henan Prov",Lower,,Cambrian,,Halite,,Coveaval halite,Xiang Li-Wen et al(1981),
E,11,E9,,35,N,112.5,E,Asia,North China,, Jiyuan,Lower,,Cambrian,,Halite,,Coveaval halite,Xiang Li-Wen et al(1981),
E,12,E10,,41.3,N,126,E,Asia,North China,, Tonghua,Lower,,Cambrian,,Evaporite,Mantou,"Gypsum, Anhydrite, Halite",Shi Xinzeng(1991),
E,13,E11,,33.8,N,113,E,Asia,North China,," Lushan,Henan Prov",Lower,,Cambrian,,Gypsum,Xinji,Gypsiferous breccia,Liu Yin-haun et al(1991),
E,14,E12,,34.5,N,113,E,Asia,North China,,"Lushan,Henan Prov",Lower,,Cambrian,,Halite,Xinji,Skeletal Halite crystals,Liu Yin-haun et al(1991),
E,15,E13,,33.5,N,117,E,Asia,North China,, Suxian,Lower,,Cambrian,,Halite,"Houjiashan,Mantuo",Skeletal Halite crystals,"Chen,Boucot",(remeasured by Fang Yi-ting and others);(recent)
E,16,E14,,41.9,N,126.4,E,Asia,North China,," Hunjiang,Jilin Prov",Lower,,Cambrian,,Gypsum,,Gypsum beds,Liu Qun et al.(1994),
E,17,E15,,42.2,N,125.7,E,Asia,North China,," Liuhe,Jilin Prov",Lower,,Cambrian,,Gypsum,,Gypsum beds,Liu Qun et al.(1994),
E,18,E16,,41.7,N,125.7,E,Asia,North China,,"Tonghua,Jilin Prov",Lower,,Cambrian,,Gypsum,,Gypsum beds,Liu Qun et al.(1994),
E,19,E17,,41.3,N,124.1,E,Asia,North China,,"Benxi,Liaoning Prov",Lower,,Cambrian,,Gypsum,,Gypsum beds,Liu Qun et al.(1994),
E,20,E18,,36.4,N,118,E,Asia,North China,," Yauanquan,Shandong Prov",Lower,,Cambrian,,Gypsum,,Gypsum beds,Liu Qun et al.(1994),
E,21,E19,,36.5,N,118.2,E,Asia,North China,," Lushan,Henan Prov",Lower,,Cambrian,,Gypsum,,Gypsum beds,Liu Qun et al.(1994),
E,22,E20,,41.2,N,123,E,Asia,North China,," Liayang,Liaoning Prov",Lower,,Cambrian,,Gypsum,,Gypsum beds,Liu Qun et al.(1994),
E,23,E21,,38.9,N,121.8,E,Asia,North China,," Salin, Liaoning Prov",Lower,,Cambrian,,Gypsum,,Gypsum beds,Liu Qun et al.(1994),
