LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Stage,Period,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E77,,41,N,81,E,Asia,China,,Tarim and Qinghai,L - M,,Cambrian,,Gypsum,Awatage,Wushi evaporites,"Lin Huan-ling et al.(1990, p. 32)",
E,2,E78,,37,N,98.5,E,Asia,China,,Wulan,Middle,,Cambrian,,Gypsum,,Wushi evaporites,The Bureau of Geology and Mineral Resources of Qinghai Province(1991),
E,3,E79,,33.5,N,117,E,Asia,North China,,Suxian,Middle,,Cambrian,,Halite,Maochuang,salt crystals,"based on field work by Feng Yi-ting, Chen Xu and A.J. Boucot(1995)",
E,4,E80,,32,N,108,E,Asia,South  China,,Zhengba,Middle,,Cambrian,,Halite,,skeletal halite crystals,"Wang Hong-zhen(1985, p. 14)",
E,5,E81,,27.2,N,108,E,Asia,South China,,Yuqing,Middle,,Cambrian,,Halite,,skeletal halite crystals,Zhang Wen-tang et al.(1979),
E,6,E82,,28,N,105,E,Asia,South China,,"border area of Sichuan,Yunnan,Guizhou Prov",Middle,,Cambrian,,Evaporite,,,"Wang Zhoang-zhe(personal comm., 1991)",
E,7,E83,,27,N,106.5,E,Asia,South China,,Jinsha County,Middle,,Cambrian,,Evaporite,,,"Wang Zhoang-zhe(personal comm., 1991)",
E,8,E84,,27,N,105.5,E,Asia,South China,,,Middle,,Cambrian,,Gypsum,Shilunshui,gypsum mine,Xiang Li-Wen et al.(1981),
E,9,E85,,28,N,106,E,Asia,South China,,Rehnhuai,Middle,,Cambrian,,Halite,Shilunshui,salt mines,Xiang et al.(1981),
E,10,E86,,27,N,105,E,Asia,South China,,Bijie,Middle,,Cambrian,,Halite,Shilunshui,salt mines,Xiang et al.(1981),
E,11,E87,,29,N,108,E,Asia,South China,,Pengshui,Middle,,Cambrian,,Halite,Shilunshui,salt mines,Xiang et al.(1981),
E,12,E88,,28,N,103.5,E,Asia,South China,,Yongshan,M - U,,Cambrian,,Evaporite,"Xiwangmiao, Erduoshui",evaporite solution breccia,Wei Dong-yen(1989),
E,13,E89,,28,N,105,E,Asia,South China,,Changning and Zhengxiong,Middle,,Cambrian,,Evaporite,Gaotai,evaporite solution breccia,Wei Dong-yen(1989),
E,14,E90,,31.5,N,109.5,E,Asia,South China,,Chengkou-Wuxi,Middle,,Cambrian,,Evaporite,Chinchiamiao,evaporite solution breccia,Wei Dong-yen(1989),
E,15,E91,,29,N,108,E,Asia,South China,,Youyang,Middle,,Cambrian,,Evaporite,Pingying,evaporite solution breccia,Wang Chang-sheng et al.(1988),
E,16,E93,,28.2,N,103.6,E,Asia,South China,,"Liepo, Sichuan",Middle,,Cambrian,,Gypsum,Xiwangmiao,,Li(1980),
E,17,E94,,27.8,N,103.2,E,Asia,South China,,"Jinyang, Sichuan",Middle,,Cambrian,,Gypsum,Xiwangmiao,,Li(1980),
E,18,E95,,27.8,N,107.5,E,Asia,South China,,"Meitan, Guizhou",Middle,,Cambrian,,Gypsum,Shilengshui,,Li(1980),
E,19,E96,,27.8,N,107,E,Asia,South China,,"Zunyi, Guizhou",Middle,,Cambrian,,Halite,Shilengshui,skeletal halite crystals,"Hubei, Li(1980)",
E,20,E97,,28,N,107.7,E,Asia,South China,,"Fonggang, Guizhou",Middle,,Cambrian,,Halite,Shilengshui,skeletal halite crystals,"Hubei, Li(1980)",
E,21,E98,,28,N,107.3,E,Asia,South China,,Shuiyang,Middle,,Cambrian,,Halite,Shilengshui,skeletal halite crystals,"Hubei, Li(1980)",
