LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E470.2,,26,N,11,E,Africa,Libya,,,Lower,Devonian,,,Gypsum,Wan Kasa,,Hallett(2002),
E,2,E456,,41,N,80,E,Asia,China,,Tarim:Wushi,L - M,Devonian,,,Gypsum,Tangaitaer,,Liao Wei-hua et al.(1990),
E,3,E457,,40,N,80,E,Asia,China,,Tarim:south of Kalping,Lower,Devonian,,,Gypsum,,,GuanShi-cong et al.(1984),
E,4,E458,,42.2,N,82,E,Asia,China,,"Tarim:Baicheng,Xinjiang",Lower,Devonian,,,Halite,Togemaiti,glaubers salt,The Xinjiang Regional Stratagraphic Chart(1981),
E,5,E459,,33.4,N,104.9,E,Asia,China,,"North China:Wudu,Gansu",Lower,Devonian,,,Gypsum,Shangputonggou,,The Gansu Regional Geological Survey Team(1987),
E,6,E460,,30.7,N,102.7,E,Asia,China,,"South China:Baoxing,Sichuan",Lower,Devonian,,,Gypsum,Yaoji Group,,Wang Zeng0ji et al.(1990),
E,7,E461,,29.7,N,98.8,E,Asia,China,,"South China:Mangkang,Sichuan",Lower,Devonian,,,Gypsum,Dingzhonglong,,Sich Regional Geological Suvey Team,
E,8,E462,,80,N,96,E,Asia,C. I. S.(frm USSR),,"Siberian Platform:N. Siberian. Basin,incl .Severnaya Zemlya",L - M,Devonian,"(Emsian,Eifelian)",,Evaporite,(Ruzanov Suite),,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)","(see also Egiazarov,1973 Fig. 32, 147)((see also Mark-Kurik,Janvier,1995,Pragian Rusanov, and Mannik et al.,2002,Podemnaya,Lochkovian,Rusanov Frm.-Pragian-Emsian)) "
E,9,E462.1,,72,N,90,E,Asia,C. I. S.(frm USSR),,"Siberian Platform:N. Siberian. Basin,incl .Severnaya Zemlya",L - M,Devonian,"(Emsian,Eifelian)",,Evaporite,(Ruzanov Suite),,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)","(see also Egiazarov,1973 Fig. 32, 147)((see also Mark-Kurik,Janvier,1995,Pragian Rusanov, and Mannik et al.,2002,Podemnaya,Lochkovian,Rusanov Frm.-Pragian-Emsian)) "
E,10,E462.2,,68,N,100,E,Asia,C. I. S.(frm USSR),,"Siberian Platform:N. Siberian. Basin,incl .Severnaya Zemlya",L - M,Devonian,"(Emsian,Eifelian)",,Evaporite,(Ruzanov Suite),,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)","(see also Egiazarov,1973 Fig. 32, 147)((see also Mark-Kurik,Janvier,1995,Pragian Rusanov, and Mannik et al.,2002,Podemnaya,Lochkovian,Rusanov Frm.-Pragian-Emsian)) "
E,11,E462.3,,73,N,115,E,Asia,C. I. S.(frm USSR),,"Siberian Platform:N. Siberian. Basin,incl .Severnaya Zemlya",L - M,Devonian,"(Emsian,Eifelian)",,Evaporite,(Ruzanov Suite),,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)","(see also Egiazarov,1973 Fig. 32, 147)((see also Mark-Kurik,Janvier,1995,Pragian Rusanov, and Mannik et al.,2002,Podemnaya,Lochkovian,Rusanov Frm.-Pragian-Emsian)) "
E,12,E462.4,,65,N,130,E,Asia,C. I. S.(frm USSR),,"Siberian Platform:N. Siberian. Basin,incl .Severnaya Zemlya",L - M,Devonian,"(Emsian,Eifelian)",,Evaporite,(Ruzanov Suite),,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)","(see also Egiazarov,1973 Fig. 32, 147)((see also Mark-Kurik,Janvier,1995,Pragian Rusanov, and Mannik et al.,2002,Podemnaya,Lochkovian,Rusanov Frm.-Pragian-Emsian)) "
E,13,E463,,62,N,96,E,Asia,C. I. S.(frm USSR),,"Siberian Platform:N. Siberian Basin,incl .Severnaya Zemlya",Lower,Devonian,Pragian-Emsian,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)","(see also Egiazarov,1973 Fig. 32, 147)((see also Mark-Kurik,Janvier,1995,Pragian Rusanov, and Mannik et al.,2002,Podemnaya,Lochkovian,Rusanov Frm.-Pragian-Emsian)) "
E,14,E464,,62,N,138,E,Asia,C. I. S.(frm USSR),,Siberian Platform:Sette Daban,Lower,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)","(see also Egiazarov,1973 Fig. 32, 147)((see also Mark-Kurik,Janvier,1995,Pragian Rusanov, and Mannik et al.,2002,Podemnaya,Lochkovian,Rusanov Frm.-Pragian-Emsian)) "
E,15,E465,,65,N,147,E,Asia,C. I. S.(frm USSR),,Siberian Platforn:Omulevsk Mountians,Lower,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
