LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E511,,35,N,69,E,Asia,Afghanistan,,west of Kabul,Middle,Devonian,,,Evaporite,,from beds below fossiliferous Eifelian,"Weippert,Wittekindt(1964)",
E,2,E512,,30,N,102,E,Asia,China,,Yangtze:western Sichusn,Middle,Devonian,,,Gypsum,"Kangding,Tianquan","in S. pt. of Longmeng Bay paleogeographicaly, are relatively close to coals",Wang Hong-zhen(1985),
E,3,E513,,80,N,101,E,Asia,C. I. S.(frm USSR),,"Siberian Platform: N. Siberian Basin,incl. Severnaya Zemlya",Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,4,E513.1,,72,N,90,E,Asia,C. I. S.(frm USSR),,"Siberian Platform: N. Siberian Basin,incl. Severnaya Zemlya",Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,5,E513.2,,68,N,100,E,Asia,C. I. S.(frm USSR),,"Siberian Platform: N. Siberian Basin,incl. Severnaya Zemlya",Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,6,E513.3,,73,N,115,E,Asia,C. I. S.(frm USSR),,"Siberian Platform: N. Siberian Basin,incl. Severnaya Zemlya",Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,7,E513.4,,65,N,130,E,Asia,C. I. S.(frm USSR),,"Siberian Platform: N. Siberian Basin,incl. Severnaya Zemlya",Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,8,E514,,62,N,138,E,Asia,C. I. S.(frm USSR),,Siberian Platform:the Sette Daban,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,9,E515,,65,N,147,E,Asia,C. I. S.(frm USSR),,Siberian Platform:Omulevsk Mountians,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,10,E516,,69,N,87,E,Asia,C. I. S.(frm USSR),,Siberian Platform:Norilsk District,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,11,E517,,74,N,112,E,Asia,C. I. S.(frm USSR),,Siberian Platform:Nordvik District,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,12,E518,,62,N,118,E,Asia,C. I. S.(frm USSR),,Siberian Platform:Kempeendyai Depression,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,13,E519,,54,N,92,E,Asia,C. I. S.(frm USSR),,Siberian Platform:Minusinsk Basin,Middle,Devonian,Late Eifel and Givet,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,14,E520,,67,N,135,E,Asia,C. I. S.(frm USSR),,Central and Eastern Asia:Verkhoyansk-Chukotsk District,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 1984, Fig. 35)",
E,15,E521,,52,N,95,E,Asia,C. I. S.(frm USSR),,Tuva Basin,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 1984, Fig. 35)",
E,16,E522,,36,N,52,E,Asia,Iran,,Khush-Yeilagh in the Alborz,L - M,Devonian,Emsian or Eifelian,,Gypsum,,,"Janvier(written comm.,1994)",
E,17,E523,,-25,S,144,E,Australia,Queensland,,Adavale Basin,Middle,Devonian,,,Evaporite,((Boree Salt Member-Etonvale)),,"Hill(1967),Tanner(1967),((Auchincloss,1976)) and Wells(1980)",
E,18,E524,,-30,S,142,E,Australia,,,South Australia:Bancannia Trough,Middle,Devonian,,,Evaporite,,,Wells(1980),
E,19,E525,,-15,S,129,E,Australia,,,Western Australia:Bonaparte Gulf Basin,Middle,Devonian,,,Evaporite,,,Wells(1980),
E,20,E526,,-18,S,124,E,Australia,,,Western Australia:Canning Basin,Middle,Devonian,,,Evaporite,,,Wells(1980),
E,21,E527,,-26,S,113,E,Australia,,,Western Australia:Carnarvon Basin,Middle,Devonian,,,Evaporite,,,Wells(1980),
E,22,E528.1,,43,N,27,E,Europe,Bulgaria,,southern edge of the Moesian Platform,Middle,Devonian,Eifelian and Givetian,,Evaporite,,in the subsurface,"Yanev,Boncheva(1997)",
E,23,E529,,58.5,N,-3.75,W,United Kingdom,Scotland,,Caithness,Middle,Devonian,,,Evaporite,,authigenic aegirne,"Fortey,Michie(1978)",
E,24,E529.1,,56,N,2.5,E,,North Sea,,,,,,,,,,,
E,25,E532,,56,N,35,E,Asia,Rumania,,Morsovo Basin,Middle,Devonian,Eifelian,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 23-26, 108-111; 1984, Fig. 40)",
E,26,E533,,45,N,27,E,Asia,C. I. S.(frm USSR),,"Moesian-Wallachian(incl. pts.of SW poland,Rumania,Bulgaria) ",Middle,Devonian,Eifel and Givet,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 23-26, 108-111; 1984, Fig. 40)",
E,27,E535,,54,N,17,E,Europe,Poland,,northwestern Poland,Middle,Devonian,Eifelian,,Anhydrite,Jamno Complex,,Dadlez(1978),
E,28,E536,,51,N,22,E,Europe,Poland,,Lublin Basin,Middle,Devonian,Eifelian and Givetian,,Evaporite,,,"Ziegler(1988, Pl.23)",
E,29,E537,,51,N,20,E,Europe,Poland,,Holy Cross Mountians,Middle,Devonian,Eifelian and Givetian,,Evaporite,,,"Ziegler(1988, Pl.23)",
E,30,E538,,44,N,25,E,Europe,Rumania,,Moesian-Wallachian Basin ,Middle,Devonian,,,Evaporite,,,Zharkov(1981),
