LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E510,,28,N,-8.5,W,Africa,Morocco,,Tindouf Basin,Middle,Devonian,Givetian,,Evaporite,,,Hollard(1967),
E,2,E512,,30,N,102,E,Asia,China,,"Yangtze:Kangding and Tianquan,western Sichuan",Middle,Devonian,,,Evaporite,,"in S. pt. of Longmeng Bay paleogeographicaly, are relatively close to coals",Wang Hong-zhen(1985),
E,3,E513,,80,N,101,E,Asia,C. I. S.(frm USSR),,Siberian Platform:N. Siberian Basin incl. Sevemaya Zemlya,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,4,E513.1,,72,N,90,E,Asia,C. I. S.(frm USSR),,Siberian Platform:N. Siberian Basin incl. Sevemaya Zemlya,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,5,E513.2,,68,N,100,E,Asia,C. I. S.(frm USSR),,Siberian Platform:N. Siberian Basin incl. Sevemaya Zemlya,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,6,E513.3,,73,N,115,E,Asia,C. I. S.(frm USSR),,Siberian Platform:N. Siberian Basin incl. Sevemaya Zemlya,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,7,E513.4,,65,N,130,E,Asia,C. I. S.(frm USSR),,Siberian Platform:N. Siberian Basin incl. Sevemaya Zemlya,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,8,E514,,62,N,138,E,Asia,C. I. S.(frm USSR),,Siberian Platform:Sette Daban,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,9,E515,,65,N,147,E,Asia,C. I. S.(frm USSR),,Siberian Platform:Omulevsk Mountians,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,10,E516,,69,N,87,E,Asia,C. I. S.(frm USSR),,Siberian Platform:Norilsk District,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,11,E517,,74,N,112,E,Asia,C. I. S.(frm USSR),,Siberian Platform:Nordvik District,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
