LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Series,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E1120,,32,N,-4,W,Africa,Algeria,,Tindouf Basin,Upper,Carboniferous,Mississippian,,,Evaporites,,,Cavaroc et al.(1976),
E,2,E1121,,26,N,-2,W,Africa,Algeria,,Hassi-Taibine Reggan Basin,Upper,Carboniferous,Mississippian,Serpuklovian,,Evaporites,,,Cavaroc et al.(1976),
E,3,E1121.1,,25,N,15,E,Africa,Niger,,Djado Basin,Upper,Carboniferous,Mississippian,Serpuklovian,,Evaporites,,,"Mergl,Massa(2000)",
E,4,E1122,,40,N,78,E,Asia,China,,Tarim:Bachu,L - M,Carboniferous,Mississippian,,Lower Carboniferous,Evaporites,"Bachu,Kalashayi",,Guan Shi-cong et al.(1984),
E,5,E1123,,41,N,89,E,Asia,China,,Tarim:Kuluktage,L - M,Carboniferous,Mississippian,,Lower Carboniferous,Evaporites,,,Guan Shi-cong et al.(1984),
E,6,E1124,,41,N,89,E,Asia,China,,Tarim:Kuluktage,L - M,Carboniferous,Mississippian,,Lower Carboniferous,Evaporites,,,Guan Shi-cong et al.(1984),
E,7,E1125,,41.5,N,80,E,Asia,China,,Tarim:Wensu,L - M,Carboniferous,Mississippian,,Lower Carboniferous,Gypsum,Yeyungou,,Liao Wei-hua et al.(1990),
E,8,E1125.1,,40.5,N,77,E,Asia,China,,"Tarim:Holashan,south Tianshan",M - U,Carboniferous,Mississippian,,Middle Carboniferous,Gypsum,,,"Liang Yun-hai,Li Wen-quiang(2000)",
E,9,E1126,,37.5,N,105,E,Asia,China,,Chaidam:Zhongwei,L - M,Carboniferous,Mississippian,,Lower Carboniferous,Evaporites,,,Wang Hong-zhen(1985),
E,10,E1127,,37,N,105,E,Asia,China,,Chaidam:Jingyuan,L - M,Carboniferous,Mississippian,,Lower Carboniferous,Evaporites,,,Wang Zhen-ji(1990),
E,11,E1128,,38,N,96,E,Asia,China,,Chaidam:Erlongbuluke,L - M,Carboniferous,Mississippian,,Lower Carboniferous,Evaporites,,,"The Stratigraphic Team of Qilianshan,Academia Sinica(1958)",
E,12,E1129,,46,N,72,E,Asia,C. I. S.(fm USSR),,Chu-Sarysu,L - M - U,Carboniferous,Mississippian,"Tournaisian,Visean,Serpukhovian",,Evaporites,,,"Zharkov(1981, Figs. 9,10,21, pp. 36-42, 113-116)",
E,13,E1130,,42,N,75,E,Asia,C. I. S.(fm USSR),,Mid-Tein Shan Basin,M - U,Carboniferous,Mississippian,"Visean,Serpukhovian",,Evaporites,,,"Zharkov(1981, Figs. 9,10,21, pp. 36-42, 113-116)",
E,14,E1131,,52,N,95,E,Asia,C. I. S.(fm USSR),,Tuva,L - M - U,Carboniferous,Mississippian,,,Evaporites,,analcime bearing lake beds,Buryanova(1960),
E,15,E1131.1,,16,N,100.75,E,Asia,Thailand,,Phicit-Nakhon Sawon,L - M - U,Carboniferous,Mississippian,,Early to Middle Carboniferous,Evaporites,,,Pisutha-Arnold et al.(1997),
E,16,E1132,,50,N,50,E,Europe,C. I. S.(fm USSR),,East Europeean Volga-Ural Basin,L - M - U,Carboniferous,Mississippian,"Tournaisian,Visean,Serpukhovian",,Evaporites,,,"Mork(oral comm.,1993)mentions Serpukhovian On South Island,Novaya Zemlya",see also Bugge et al.(1995)
E,17,E1132.1,,68,N,49,E,Europe,C. I. S.(fm USSR),,Kolguev Island,L - M - U,Carboniferous,Mississippian,,,Anhydrite,,,Preobrazhenskaya et al.(1995),
E,18,E1133,,72,N,18,E,Europe,Norway,,Nordkapp Basin,M - U,Carboniferous,Mississippian,"Visean,Serpukhovian",,Evaporites,,,"Johansen et al.(1993, Fig. 5)",
E,19,E1133.1,,78,N,32,E,Europe,Svalbard,,,Upper,Carboniferous,Mississippian,Serpuklovian,,Evaporites,Munien,,"Harland(1997, p. 72,162)",
E,20,E1134,,50,N,-100,W,N. America,Canada,,"Alberta,British Columbia,Yukon Terr.,Dist. of Mackenzie,Williston Basin:also Saskatchewan,N. Dakota",M - U,Carboniferous,Mississippian,,,Evaporites,,,"Fuller,Porter(1969)",
E,21,E1135,,50,N,-115,W,N. America,Canada,,"Alberta,British Columbia,Yukon Terr.,Dist. of Mackenzie,Williston Basin:also Southern pt NW Territory",M - U,Carboniferous,Mississippian,,,Evaporites,,,Meijer Drees(1986),
E,22,E1136,,60,N,-125,W,N. America,Canada,,"Alberta,British Columbia,Yukon Terr.,Dist. of Mackenzie,Williston Basin:also Southern pt NW Territory",M - U,Carboniferous,Mississippian,,,Evaporites,,,Meijer Drees(1986),
E,23,E1137,,80,N,-85,W,N. America,Canada,,Arctic:Sverdrup Basin,Upper,Carboniferous,Mississippian,,latest Mississipian above older Mississippian and Devonian coals,Evaporites,"Ellesmereland,Axel Heiberg,Amund Ringnes,Ellef Ringnes,Melville Islands",,Davies(1973),
E,24,E1137.1,,80,N,-90,W,N. America,Canada,,Arctic:Sverdrup Basin,Upper,Carboniferous,Mississippian,,latest Mississipian above older Mississippian and Devonian coals,Evaporites,"Ellesmereland,Axel Heiberg,Amund Ringnes,Ellef Ringnes,Melville Islands",,Davies(1973),
E,25,E1137.2,,76,N,-112,W,N. America,Canada,,Arctic:Sverdrup Basin,Upper,Carboniferous,Mississippian,,latest Mississipian above older Mississippian and Devonian coals,Evaporites,"Ellesmereland,Axel Heiberg,Amund Ringnes,Ellef Ringnes,Melville Islands",,Davies(1973),
E,26,E1137.3,,78,N,-100,W,N. America,Canada,,Arctic:Sverdrup Basin,Upper,Carboniferous,Mississippian,,latest Mississipian above older Mississippian and Devonian coals,Evaporites,"Ellesmereland,Axel Heiberg,Amund Ringnes,Ellef Ringnes,Melville Islands",,Davies(1973),
E,27,E1137.4,,69.5,N,-144,W,N. America,United States,,Alaska:Sadlerochit Mountians,Upper,Carboniferous,Mississippian,Chesterian,,Gypsum,Alapah Limestone,gypsum pseudomorphs,Armstrong(1975a),
E,28,E1137.5,,69.5,N,-146,W,N. America,United States,,Alaska:Sadlerochit Mountians,Upper,Carboniferous,Mississippian,Chesterian,,Evaporites,Alapah Limestone,,Gruzlovic(1991),"see also Mamet,Batz,1989,Kayak and lower Alpah formations"
E,29,E1137.6,,36,N,-87,W,N. America,United States,,Tennessee:eastern Tennessee,Upper,Carboniferous,Mississippian,,,Gypsum,Bangor Limestone(strata poss. older than L Miss.coal beds of this region),gypsum pseudomorphs,"Algeo,Rich(1992)",
E,30,E1137.7,,47,N,-104,W,N. America,United States,,Williston Basin(Montana and Nort Dakota),Upper,Carboniferous,Mississippian,,,Evaporites,Big Snowy Group,,Johnson(1989),
CA,31,CA1138,,37,N,-83,W,N. America,United States,,Kentucky:northeastern Kentucky,L - M - U,Carboniferous,Mississippian,,,Calcretes,,,Walls et al.(1975),
CA,32,CA1139,,41,N,-76,W,N. America,United States,,Pennsylvania,Upper,Carboniferous,Mississippian,Chesterian,,Calcretes,Mauch Chunk,,"Mora et al.(1991; Mora et al.,1998)",
CA,33,CA1140,,36,N,-85,W,N. America,United States,,Tennessee,Upper,Carboniferous,Mississippian,Chesterian,,Calcretes,Pennington,,"Caudill et al.(1992,1996)",
CA,34,CA1141,,39,N,-79,W,N. America,United States,,West Virginia,Upper,Carboniferous,Mississippian,Meramecian-Chesterian,,Calcretes,Greenbriar,,"Al-Tawil,Read(1993)","see also Englund et al.,1981, Bluestone Fm"
CA,35,CA1142,,37.5,N,-81,W,N. America,United States,,West Virginia,Upper,Carboniferous,Mississippian,,,Calcretes,Bluestone,,Cecil et al.(1992),
T,36,T1142.1,,-52,S,-60,W,N. America,Falkland Islands,,West Falkland,Upper,Carboniferous,Mississippian,Late Visean-Early Namurian,palynologically dated,Tillites,,diamictite dike,Hyam et al.(1996),
C,37,C1143,,40,N,82,E,Africa,Egypt,,Sinai,L - M - U,Carboniferous,Mississippian,,,Coals,,,"Feys,Fabre(1996;and references therein)",
C,38,C1144,,40,N,82,E,Asia,China,,Tarim:Tarim Platform,Upper,Carboniferous,Mississippian,,Mississippian(C 1-2),Coals,,,Bing Hu et al.(1969),
C,39,C1145,,37,N,96,E,Asia,China,,Chaidam:Huaitoutala,Upper,Carboniferous,Mississippian,,,Coals,Huaitoutala,,"The Stratigraphic Team of Qilianshan,Academia Sinica(1958)",
C,40,C1146,,41,N,95,E,Asia,China,,Chaidam:Beishan,Upper,Carboniferous,Mississippian,,,Coals,Choniukou,,Wang Zhen-ji(1990),
C,41,C1147,,39,N,109,E,Asia,China,,Chaidam:Sunan,Upper,Carboniferous,Mississippian,,,Coals,Choniukou,,Wang Zhen-ji(1990),
