LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Series,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E1306,,26,N,8,E,Africa,Algeria,,Fort-Polingnac Basin in eastern Algeria,Middle,Carboniferous,Pennsylvanian,Westphlian(upper Namurian),,Gypsum,,,Dubois et al.(1959),"see also Perrodon,Teissereno(1965) upper Namurian"
E,2,E1307,,27,N,9,E,Africa,Algeria,,Illizi Basin,L - M,Carboniferous,Pennsylvanian,Bashkirian-Moscovian,,Evaporites,El Adeb,,Legrand-Blain(1985),see also Busson(1970)
E,3,E1308,,27,N,13,E,Africa,Libya,,Libyan side of the Algerian frontier at several places including the southern Rhadames Basin,,Carboniferous,Pennsylvanian,Upper Assedjefar,,Anhydrites,Tiguentourine,in the subsurface,"Bellini,Massa(1980)",
E,4,E1309,,25,N,13,E,Africa,Libya,,Murzuq Basin,Lower,Carboniferous,Pennsylvanian,Late Namurian thru Moscovian,,Anhydrites,Dembaba,,"Bellini,Massa(1980)","see also Grubic et al.(1991),Jakovljevic,(1984) & Komarnicki[later Namurian thru Moscovian],(1984), with anaclime beds"
E,5,E1309.2,,25.9,N,10.8,E,Africa,Libya,,,Lower,Carboniferous,Pennsylvanian,Moscovian,,Evaporites,Bashkirian Dembaba and overlying Moscovian beds,analcimolite beds,"Youshah,El Hatimi(2000)",see also Hallett(2002)
E,6,E1309.1,,25,N,15,E,Africa,Niger,,Djado Basin,Lower,Carboniferous,Pennsylvanian,,,Evaporites,Dembaba,,"Mergl,Massa(2000)",
E,7,E1310,,43,N,89,E,Asia,China,,Tarim:Tuokesun,L - M - U?,Carboniferous,Pennsylvanian,,Upper Carboniferous,Gypsum,Shangshuyuan,gypsum beds,Kiao Zhuo-ting et al.(1990),
E,8,E1311,,43,N,93.5,E,Asia,China,,Tarim:Hami,L - M - U?,Carboniferous,Pennsylvanian,,Upper Carboniferous,Gypsum,Shangshuyuan,gypsum beds,Kiao Zhuo-ting et al.(1990),
E,9,E1312,,38.8,N,80.8,E,Asia,China,,"Tarim:Hetian,Xinjiang",Lower,Carboniferous,Pennsylvanian,Bashkirian,,Gypsum,Kalashayi,,Wu(1991),
E,10,E1313,,39.8,N,78.6,E,Asia,China,,"Tarim:Bachu,Xinjiang",Lower,Carboniferous,Pennsylvanian,Bashkirian,,Gypsum,Kalashayi,,Wu(1991),
E,11,E1314,,41.3,N,79.9,E,Asia,China,,"Tarim:Turpan,Xinjiang",Lower,Carboniferous,Pennsylvanian,,"""Middle Carboniferous""",Gypsum,,,Wu(1991),
E,12,E1314.1,,43.8,N,82.5,E,Asia,China,,"Tarim:Nileke,Xinjiang",Lower,Carboniferous,Pennsylvanian,,"""Middle Carboniferous""",Gypsum,Yeleimodun,,Wu(1991),
E,13,E1315,,30.1,N,80.1,E,Asia,China,,"Tarim:Awati,Xinjiang",Lower,Carboniferous,Pennsylvanian,,,Evaporites,Kalashayi,,The Xinjiang Regional Stratigraphic Chart(1981),
E,14,E1316,,39.3,N,77.8,E,Asia,China,,"Tarim:Maigaiti,Xinjiang",Lower,Carboniferous,Pennsylvanian,,,Evaporites,Kalashayi,,The Xinjiang Regional Stratigraphic Chart(1981),
E,15,E1317,,40.5,N,83.3,E,Asia,China,,"Tarim:West Mangar,Xinjiang",Lower,Carboniferous,Pennsylvanian,,,Evaporites,Kalashayi,,unpublished information,
E,16,E1318,,40.5,N,84.7,E,Asia,China,,"Tarim:south of Luntai,Xinjiang",Lower,Carboniferous,Pennsylvanian,,,Evaporites,Kalashayi,,unpublished information,
