LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Series,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E1844,,32,N,-2,W,Africa,Algeria,,Bechar Basin,Upper,Carboniferous,Pennsylvanian,Stephanian,,Evaporites,,,Sonatrach(1979),
E,2,E1844.1,,26,N,11,E,Africa,Libya,,,Upper?,Carboniferous,Pennsylvanian,,,Evaporites,Tiguentourine,,Hallett(2002),
E,3,E1845,,43,N,89,E,Asia,China,,Tarim and Xinjiang:Tuokesun,L - M - U?,Carboniferous,Pennsylvanian,,Upper Carboniferous,Gypsum,Shangshuyuan,gypsum beds,Liao Zhuo-ting et al.(1990),
E,4,E1846,,43,N,93.5,E,Asia,China,,Tarim and Xinjiang:Hani,L - M - U?,Carboniferous,Pennsylvanian,,Upper Carboniferous,Gypsum,Shangshuyuan,gypsum beds,Liao Zhuo-ting et al.(1990),
E,5,E1847,,37,N,85,E,Asia,China,,"Tarim and Xinjiang:Ruoqiang,Xinjiang",L - M - U?,Carboniferous,Pennsylvanian,,,Evaporites,Karamilanhe Group,,The Xinjiang Regional Stratagraphic Chart(1981),
E,6,E1848,,39,N,95,E,Asia,China,,Chaidam:Subei,L - M - U?,Carboniferous,Pennsylvanian,,Upper Carboniferous,Gypsum,,,Wang Zhen-ji(1990),
E,7,E1849,,36,N,105,E,Asia,China,,N. China:Jingyuan,L - M - U?,Carboniferous,Pennsylvanian,,Upper Carboniferous,Evaporites,,,Wang Zhen-ji(1990),
E,8,E1850,,37.2,N,106.4,E,Asia,China,,"N. China:Wezhou,Ningxia",L - M - U?,Carboniferous,Pennsylvanian,,,Evaporites,Taiyuan,,"Yuan Yi-ping,Zhou Zhu-ren(1987)",
E,9,E1851,,46,N,68,E,Asia,C. I. S.(fm USSR),,,L - M-  U,Carboniferous,Pennsylvanian,Bashkirian-Gzhelian,,Evaporites,Chu-Sarysu?,,"Zharkov(1981) Figs. 9,21, pp. 37-42,52-53",
E,10,E1852,,68,N,60,E,Europe,C. I. S.(fm USSR),,Timan Pechora Basin,Upper,Carboniferous,Pennsylvanian,Stephanian,,Evaporites,,,"Ziegler(1988, Pl. 22)",
E,11,E1853,,55,N,38,E,Europe,C. I. S.(fm USSR),,Eastern European Platform Moscow Syneclise?,Middle,Carboniferous,Pennsylvanian,Moscovian,Orenburgian,Evaporites,Moscow Syneclise?,,"Zharkov(1981, Figs. 9,27 pp. 49-51)",
E,12,E1854,,71,N,30,E,Europe,Norway,,southern Barents Sea Basin,Upper,Carboniferous,Pennsylvanian,Kasimovian and Gzhelian-Asselian,,Evaporites,,from shallow boreholes,Bugge et al.(1993; oral comments),
E,13,E1854.1,,78,N,18,E,Europe,Svalbard,,,Upper,Carboniferous,Pennsylvanian,Kasimovian-Gzhelian,,Evaporites,Cadellfjellet Member and Kapp Duner-Idunfjellet Member,,"Harland(1997, p. 69,322)",
E,14,E1855,,42,N,-108,W,N. America,United States,,Colorado and Utah:Eagle Basin?,M - U,Carboniferous,Pennsylvanian,"Moscovian,Gzhelian-Kasimovian",Atokan-Virgillian,Evaporites,Eagle Basin Evaporite,,Johnson et al.(1992),
E,15,E1855.1,,37,N,-109,W,N. America,United States,, Paradox Basin,Upper,Carboniferous,Pennsylvanian,Kasimovian,Missourian,Evaporites,Paradox,,Johnson et al.(1989),
E,16,E1855.2,,39,N,-96,W,N. America,United States,,Kansas:northeastern Kansas,,Carboniferous,Pennsylvanian,Gzhelian,Virgilian,Evaporites,,,Babcock et al.(2000),
E,17,E1856,,42,N,-104,W,N. America,United States,,Nebraska and Wyoming,M - U,Carboniferous,Pennsylvanian,,,Evaporites,Minnelusa,,Johnson et al.(1989),
E,18,E1856.1,,30.5,N,-114.5,W,N. America,United States,,Nevada,L - M- U?,Carboniferous,Pennsylvanian,,,Evaporites,Supai,,Longwell(1928),
E,19,E1857,,33,N,-103,W,N. America,United States,,New Mexico:southeastern New Mexico,Upper,Carboniferous,Pennsylvanian,,"upper,Late Pennsylvanian",Evaporites,part of the Magdalena Group,,"Bachman(1975, p. 240)",
E,20,E1858,,33,N,-107,W,N. America,United States,,New Mexico:Dona Ana County,Upper,Carboniferous,Pennsylvanian,Gzhelian,Virgilian,Gypsum,,gypsum beds,"Bachman,Myers(1969)",
