LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E2219.1,,26,N,11,E,Africa,Libya,,western Libya,Lower,Permian,Asselian,,Evaporites,Tiguentourine,,Hallett(2002),
E,2,E2219,,38.1,N,85.5,E,Asia,China,,Xinjiang:Chemo,L - U?,Permian,,,Evaporites,Yesonggang,,"Zhang,Wu(1991)",
E,3,E2220,,42.7,N,88.6,E,Asia,China,,"Xinjiang:Tokexun,Xinjiang",Lower,Permian,,,Evaporites,Yesonggang,,"Zhang,Wu(1991)",
E,4,E2221,,41.2,N,79.2,E,Asia,China,,"Xinjiang:Wushi,Xinjiang",Lower,Permian,,,Evaporites,Nikelachi,,"Zhang,Wu(1991)",
E,5,E2222,,39.7,N,76.1,E,Asia,China,,"Xinjiang:Atushi,Xinjiang",Lower,Permian,,,Evaporites,Wutankule,,"Zhang,Wu(1991)",
E,6,E2222.1,,17.5,N,101.75,R,,,,,,,,,,,,,
E,7,E2223,,-29,S,134,E,Australia,,,S. Australia:Arckaringa Basin,Lower,Permian,,,Evaporites,Stuart Range,,Wells(1980),
E,8,E2224,,-14,S,124,E,Australia,,,W.Australia:Browse Basin,Lower,Permian,Sakmarian,,Evaporites,,,Wells(1980),
E,9,E2225,,77,N,67,E,Europe,C. I. S.(frm USSR),,"northeastern North Island,Novaya Zemlya",Lower,Permian,Asselian,,Evaporites,,,Mork(oral comm.(1993),see also Bugge et al.(1995)
E,10,E2226,,65,N,45,E,Europe,C. I. S.(frm USSR),,East European Platform,Lower?,Permian,,,Evaporites,,,"Zharkov(1984, Fig. 97) ",
E,11,E2227,,50,N,35,E,Europe,C. I. S.(frm USSR),,East European Platform,Lower?,Permian,,,Evaporites,,,"Zharkov(1984, Fig. 97) ",
E,12,E2228,,48,N,50,E,Europe,C. I. S.(frm USSR),,East European Platform,Lower?,Permian,,,Evaporites,,,"Zharkov(1984, Fig. 97) ",
E,13,E2228.1,,51,N,15,E,Europe,Czech Republic,,"Vlcice area, in the Krkonose-piedmont Basin",Lower,Permian,,,Evaporites,,,Prouza et al.(1977),
E,14,E2229,,49,N,12.5,E,Europe,Germany,, Stockheim Trough,L - U?,Permian,,,Evaporites,Rotliegendes,,"Dill,Botz(1987)",
E,15,E2230,,47,N,12,E,Europe,Italy,,,Lower,Permian,Asselian-Sakmarian,,Evaporites,,,"Zharkov(1981,pp. 68-69;1984) ",
E,16,E2231,,72,N,25,E,Europe,Norway,,Nordkapp Basin,Lower,Permian,Sakmarian,"Stemmerik(written comm.,1990)sugg that evaporitic dep in the Nordkapp B. stopped in the Sakmarian",Evaporites,,based on seismic evidence,"Ziegler(1989, Fig. 3)",
E,17,E2232,,71,N,30,E,Europe,Norway,,Finnmark Platform,Lower,Permian,Asselian,Gzhelian-Asselian,Evaporites,,,Bugge et al.(1995),
E,18,E2233,,78,N,15,E,Europe,Svalbard,,western Svalbard,Lower,Permian,Asselian and Artinskian,,Evaporites,,,"Ziegler(1988, PL. 22)","see also Steel,Worsley(1984)"
E,19,E2233.1,,54,N,2,E,United Kingdom,England,,southern North Sea,Lower,Permian,,,Evaporites,Silverpit,,Cameron et al.(1992),
E,20,E2233.2,,57.8,N,-0.5,W,United Kingdom,Scotland,,Moray Firth region,L - U?,Permian,,,Evaporites,,,Andrews et al.(1990),
E,21,E2234,,80,N,-80,W,N.America,Canada,,Arctic:central Ellesmereland,Lower,Permian,,,Evaporites,Mt. Bayley,,Davies(1973),see also Wallace et al.(1994)
E,22,E2235,,35,N,-110,W,N.America,United States,,Arizona:Holbrook Basin,L - U?,Permian,,,Evaporites,upper Supai,,"Peirce,Gerrard(1966)",
E,23,E2236,,41,N,-104,W,N.America,United States,,Colorado:U.S. part of the Williston Basin and of Alliance Basin,L - U?,Permian,,,Evaporites,,,Maugham(1966),see also Johnson et al.(1989)
E,24,E2236.1,,45,N,-114,W,N.America,United States,,Idaho:east-central Idaho,L - U?,Permian,,,Evaporites,Juniper Gulch Member-Snaky Canyon,,Rankey(1977),
E,25,E2237,,38,N,-97,W,N.America,United States,,Kansas,L - U?,Permian,,,Evaporites,Barneston Limestone,evaporitic material,Miller(1996),
E,26,E2238,,42,N,-104,W,N.America,United States,,Nebraska:western Nebraska,L - U?,Permian,,,Evaporites,Minnelusa,,Maugham(1966),
E,27,E2239,,41,N,-114,W,N.America,United States,,"Nevada and Utah:S Nevada,(NE Nev. in White Pines,Elko Counties);adj pts of Millard,Juab,Toole Counties,Ut.",Lower,Permian,Sakmarian-Artinskian,"Wolfcamp and earlier Leon.- Spinosa(oral comm.(1995)-Pequop yld conodonts of Wolfcamp,earlier Leonardian age, frm beneath the younger Loray",Evaporites,"Toroweap,Kaibab(Pequop,Loray)",,Johnson et al.(1989),
E,28,E2240,,36.25,N,-114.6,W,N.America,United States,,Nevada and Utah:Clark County,L - U?,Permian,,,Evaporites,Kailbab Limestone,,Bohannon(1983),
E,29,E2240.1,,30.5,N,-114.5,W,N.America,United States,,Nevada and Utah,L - U?,Permian,,,Evaporites,Kailbab Limestone,,Longwell(1928),
E,30,E2241,,48,N,-104,W,N.America,United States,,Nort Dakota:U.S. side of the Williston Basin,L - U?,Permian,,,Evaporites,,,"Anderson,Hansen(1957)",
