LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E3231,,31,N,103,E,Asia,China,,S.China:central part of the Yangze Platform,Lower,Triassic,,,Evaporites,,,"Wu ying-lin,Yan Tang-ji(1987)",
E,2,E3232,,26.5,N,106.25,E,Asia,China,,S.China:Liuzhi-Puding-Anshun-Guiyang,Lower,Triassic,Olenekian,,Gypsum,Anshun,,Chen Long-zhi(1976),
E,3,E3233,,26,N,105,E,Asia,China,,S.China:Puan,Lower,Triassic,Olenekian,,Gypsum,Anshun,,Chen Long-zhi(1976),
E,4,E3234,,30.5,N,107,E,Asia,China,,S.China:Linshui,Lower,Triassic,Olenekian,,Evaporites,Chialingkiang,evaporite solution breccia,Zhu Jing-quan(1991),
E,5,E3234.1,,32,B,107,E,,,,,,,,,,,,,
E,6,E3235,,28,N,50,E,Asia,Middle East,,Persian Gulf region,L-M-U,Triassic,,,Evaporites,,,Saint-Marc(1978),
E,7,E3235.1,,29,N,52,E,Asia,Middle East,,east side of the Persian gulf,L -M -U?,Triassic,,,Evaporites,Kangan,Kuh-e-Siah-1 well,ESCAP(1988),
E,8,E3236,,22,N,56,E,Asia,Middle East,,Oman,Lower,Triassic,,,Evaporites,Sudair,,Clarke(1988),
E,9,E3237,,35,N,37,E,Asia,Middle East,,Syria,L -M -U?,Triassic,,,Evaporites,,,Gill(1965),
E,10,E3238,,37,N,44,E,Asia,Middle East,,Turkey:southeastern Turkey,L -M -U?,Triassic,,age not given in detail,Evaporites,,,Uygun(1980),
E,11,E3239,,47,N,15,E,Europe,Austria,,Austrian Alps,L  - U,Triassic,,Lowerand Upper Triassic,Evaporites,,,Medwenitsch(1972),
E,12,E3240,,53,N,0,,Europe,British Isles,,Sole Pit Basin to the north of Peterborough,L-M-U,Triassic,Scythian to Norian,,Evaporites,,,"Ziegler(1988, PL. 29)",
E,13,E3241,,56,N,6,E,Europe,Denmark,,offshore Central Graben,L-M-U,Triassic,Scythian to Norian,,Evaporites,,,"Ziegler(1988, PL. 30)",
E,14,E3242,,57,N,9,E,Europe,Denmark,,"North Danish Basin,Jutland",L-M-U,Triassic,Scythian to Norian,,Evaporites,,,"Ziegler(1988, PL. 30)",
