LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E3314.3,,28,N,9,E,Africa,Algeria,,Algerian Sahara,Middle,Triassic,,,Evaporites,,,"Busson,Cornee(1991)",
E,2,E3314.2,,36,N,10,E,Africa,Tunisia,,Atlas  ,Middle,Triassic,,,Gypsum,,,"Kamoun et al.(1998,2001)",
E,3,E3314.1,,31,N,103,E,Asia,China,,S.China:central part of the Yangze Paltform,Middle,Triassic,,,Evaporites,,,"Wu ying-lin,Yan Tang-ji(1987)",
E,4,E3315,,29,N,105,E,Asia,China,,S.China:Weiyuan,Middle,Triassic,late Anisian,,Gypsum,,,Zhao Jin-ke et al.(1962),
E,5,E3316,,29,N,104,E,Asia,China,,S.China:Central Sichaun and western Weiyuan,Middle,Triassic,Anisian ,,Halites,Chialingkiang and Leikoupo,,The Bureau of Geology and Mineral Resources of Sichuan Province(1978),
E,6,E3317,,27,N,101.5,E,Asia,China,,S.China:Sichuan Basin and Yangyuan,Middle,Triassic,Anisian ,,Gypsum,Chialingkiang and Leikoupo,,The Bureau of Geology and Mineral Resources of Sichuan Province(1978),
E,7,E3318,,30,N,102,E,Asia,China,,S.China:Kangding,Middle,Triassic,Anisian ,,Gypsum,Chialingkiang and Leikoupo,,The Bureau of Geology and Mineral Resources of Sichuan Province(1978),
E,8,E3319,,29,N,104,E,Asia,China,,S.China:Jianwei,Middle,Triassic,lower Anisian,,Halites,Chialingkiang,anhydrite and halite,Chen Ji-zhou(1990),
E,9,E3320,,31,N,107.5,E,Asia,China,,S.China:Quxian-Daxian,Middle,Triassic,lower Anisian,,Gypsum,Chialingkiang,,Chen Ji-zhou(1990),
E,10,E3321,,31,N,106,E,Asia,China,,S.China:Nanchong,Middle,Triassic,late Anisian,,Gypsum,Kaliastrakanite,,Chen Ji-zhou(1990),
E,11,E3322,,30.5,N,106.5,E,Asia,China,,S.China:Guanqan,Middle,Triassic,late Anisian,,Gypsum,Kaliastrakanite,,Chen Ji-zhou(1990),
E,12,E3323,,31,N,107.5,E,Asia,China,,S.China:Quxian-Daxian,Middle,Triassic,late Anisian,,Gypsum,Kaliastrakanite,,Chen Ji-zhou(1990),
E,13,E3324,,29.5,N,104.5,E,Asia,China,,S.China:Weiyuan,Middle,Triassic,late Anisian,,Halites,Leikoupo,anhydrite and halite,Chen Ji-zhou(1990),
E,14,E3325,,27,N,107.5,E,Asia,China,,S.China:Wengan,Middle,Triassic,Anisian ,,Gypsum,Sizishan,,Chen Long-zhi(1976),
E,15,E3326,,32.5,N,108,E,Asia,China,,S.China:Zhenba,Middle,Triassic,lower Anisian,,Evaporites,Chialingkiang and Leikoupo,,The Compiling Group of the Regional Stratigraphic Chart of Shaanxi(1983),
E,16,E3327,,32,N,119,E,Asia,China,,S.China:Nanjing,Middle,Triassic,Anisian ,,Halites,,anhydrite ,"Li Jin-hua,Ju Kui-xiang(1989)"
E,17,E3328,,31.5,N,120,E,Asia,China,,S.China:Yixian,Middle,Triassic,Anisian ,,Halites,,skeletal halite crystals,"Li Jin-hua,Ju Kui-xiang(1989)"
E,18,E3329,,31.5,N,118,E,Asia,China,,S.China:Chaoxian,Middle,Triassic,Anisian ,,Halites,Dongmanshan,skeletal halite crystals,"Li Jin-hua,Ju Kui-xiang(1989)"
E,19,E3330,,33,N,108,E,Asia,China,,S.China:Xixiang,Middle,Triassic,Anisian ,,Evaporites,,evaporite solution breccia,Wei Dong-yan(1991)
E,20,E3331,,33.5,N,109,E,Asia,China,,S.China:Zhenan,Middle,Triassic,Anisian ,,Evaporites,,evaporite solution breccia,Wei Dong-yan(1991)
E,21,E3332,,31,N,120,E,Asia,China,,S.China:Yixing,Middle,Triassic,Anisian ,,Gypsum,Zhouchongcun,skeletal gypsum crystals,Zhu Hong-fu et al.(1991)
E,22,E3333,,31,N,97,E,Asia,China,,Xizang:Changdu,Middle,Triassic,Ladinian,,Gypsum,Jiapila,,The Bureau of Geology and Mineral Resources of Sichuan Province(1978)
E,23,E3333.1,,37,N,43,E,Asia,Iraq,,,Middle,Triassic,,,Evaporites,Geli Hana,in fold belt,"Beydoun(1991, Fig. 12)"
E,24,E3334,,29,N,52,E,Asia,Iran,,east side of the Persian gulf in the Zagros,Middle,Triassic,Anisian-Ladinian,,Evaporites,,in a borehole(Kuh-E-Siah-1),"ESCAP(1988, Atlas Sheet Iran 1)"
E,25,E3334.1,,30.5,N,34.5,E,Asia,Israel,,Saharonim?,Middle,Triassic,Ladinian,,Evaporites,,,Feldman(2002)
E,26,E3337,,28,N,50,E,Asia,Middle East,,Persian Gulf region,L-M-U,Triassic,,,Evaporites,,,Saint-Marc(1978)
E,27,E3336.1,,32,N,36,E,Asia,Jordan,,west of Amman,Middle,Triassic,Ladinian,,Evaporites,Abu Ruweis,,Sadeddin(1996)
E,28,E3338.1,,35,N,37,E,Asia,Syria,,,L -M -U?,Triassic,,,Evaporites,,,Gill(1965)
E,29,E3338.2,,35,N,39,E,Asia,Syria,,,Middle,Triassic,,,Halites,Kurrachine Anhydrite ,,Litek et al.(1997)
E,30,E3339,,37,N,44,E,Asia,Turkey,,southeastern Turkey,L -M -U?,Triassic,,age not given in detail,Evaporites,,,Uygun(1980)
E,31,E3340,,56,N,3,E,Europe,,,North Sea,Middle,Triassic,Anisian-Ladinian,,Evaporites,Muschelkalk,,"Ziegler(1982, Encl. 16)"
E,32,E3341,,45,N,-2,W,Europe, ,,Bay of Biscay and adjacent areas,Middle,Triassic,Anisian-Ladinian,,Evaporites,Muschelkalk,,"Ziegler(1982, Encl. 16)",
E,33,E3342,,47,N,15,E,Europe,Austria,,Austrian Alps,L  - U,Triassic,,Lower and Upper Triassic,Evaporites,,,Medwenitsch(1972),
E,34,E3343,,53,N,-8,W,Europe,British Isles,,Ireland,Middle,Triassic,Anisian,"see Wilson,Manning(1978p. 75), Rhaetian;Wilson et al.(2001),Anisian",Evaporites,,,Wilson(1981),
E,35,E3344,,48,N,-7,W,Europe,British Isles,,Western Approaches Basin,M  - U,Triassic,Anisian to Norian,,Evaporites,,,"Ziegler(1988, Pl.29)",
E,36,E3345,,54,N,-4,W,Europe,British Isles,,Morecambe Field,Middle,Triassic,,,Evaporites,Sherwood Sandstone Group,,Cowan(1993),"see also Meadows,Beach(1993)"
E,37,E3346,,53,N,-1,W,Europe,British Isles,,Nottingham area,Middle,Triassic,,,Halites,,halite casts,Mader(1992),
E,38,E3346.1,,54,N,2,E,Europe,British Isles,,southern North Sea region,Middle,Triassic,,,Evaporites,,,Cameron et al.(1992),
E,39,E3346.2,,53.5,N,-2.25,W,,,,,,,,,,,,,
E,40,E3347,,56,N,6,E,Europe,Denmark,,offshore Central Graben,L-M-U,Triassic,Scythia to Norian,,Evaporites,,,"Ziegler(1988, PL. 30)",
E,41,E3348,,47,N,9,E,Europe,Denmark,,"North Danish Basin,Jutland",L-M-U,Triassic,,,Evaporites,,,"Ziegler(1988, PL. 30)",
E,42,E3349,,49,N,7,E,Europe,France,,eastern side of the Paris Basin in Lorraine,Middle,Triassic,Anisian-Ladinian,,Evaporites,middle Muschelkalk,,Geisler-Gussey(1986-1987),
E,43,E3350,,41,N,3,E,Europe,France,,"Vosge,Jura,Bresse and Massif Central",Middle,Triassic,Anisian-Ladinian,,Evaporites,Muschelkalk and Keuper,,"Theobald,Laugier(1963)",
E,44,E3351,,44,N,7,E,Europe,France,,Alpes Maritimes,Middle,Triassic,Anisian-Ladinian,,Evaporites,Muschelkalk,,Vernet(1963),
E,45,E3352,,44,N,3,E,Europe,France,,Lodeve region,Middle,Triassic,Anisian-Ladinian,,Evaporites,,,"Lopez,Mader(in Mader,1992)",
E,46,E3353,,52,N,8,E,Europe,Germany,,western Germany,Middle,Triassic,Anisian-Ladinian,,Evaporites,Muschelkalk,,Wild(1980),
E,47,E3354,,49,N,9,E,Europe,Germany,,Molasse Basin southwestern Germany,M  - U,Triassic,Anisian to Carnian,,Evaporites,,,"Ziegler(1988, PL. 30)",
E,48,E3355,,50,N,6,E,Europe,Germany,,Eifel?,Middle,Triassic,,,Evaporites,,,Mader(1992),
E,49,E3356,,39.5,N,20.5,E,Europe,Greece,,western Greece,M  - U,Triassic,pre-Norian,,Evaporites,,,Underhill(1988),see also Gill(1965)
E,50,E3357,,39,N,21,E,Europe,Greece,,western Greece,L   -  M,Triassic,pre-Carnian,Permo-Triassic,Evaporites,,,Gill(1965),
E,51,E3358,,47,N,19,E,Europe,Hungary,,,Middle,Triassic,Anisian,,Evaporites,,,Mader(1992),
E,52,E3358.1,,47,N,17.5,E,,,,,,,,,,,,,
E,53,E3359,,40,N,9,E,Europe,Italy,,eastern Sardinia,Middle,Triassic,,,Evaporites,Muschelkalk,,Excel(1986),
E,54,E3360,,40,N,16,E,Europe,Italy,,northern Calabria,Middle,Triassic,Ladinian and Anisian,,Evaporites,,,Iannace et al.(1995),
E,55,E3361,,54,N,5,E,Europe,Netherlands,,"offshore Central Graben,(Netherlands coastline)",L  - U,Triassic,Scythian to Norian,,Evaporites,(Broad Fourteens),,"Ziegler(1988, PL. 30)",
E,56,E3362,,62.5,N,4,E,Europe,Norway,,Mid Norway Basin off the central coast,M  - U,Triassic,Ladinian and Carnian,,Evaporites,,,"Ziegler(1988, PL. 30)",
E,57,E3363,,59,N,3,E,Europe,Norway,,More Basin off the southwestern coast,M  - U,Triassic,Ladinian and Carnian,,Evaporites,,,"Ziegler(1988, PL. 30)",
E,58,E3364,,65,N,9,E,Europe,Norway,,offshore Trondelag Platform,L   -  M,Triassic,,,Evaporites,,,Ehrenberg et al.(1992),
E,59,E3365,,52,N,20,E,Europe,Poland,,Polish Trough of central Poland,M  - U,Triassic,Ladinian-Norian,,Evaporites,,,"Ziegler(1988, PL. 30)",
