LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E3411,,33,N,-5,W,Africa,,,North Africa:Morocco,Upper,Triassic,,Triassic-Jurassic(the impression is given that the stratagraphic age dating is approximate),Evaporites,,,Tortochaux(1968),
E,2,E3412,,36.5,N,7,E,Africa,,,North Africa:Algeria to Tunisia,Upper,Triassic,,Triassic-Jurassic(the impression is given that the stratagraphic age dating is approximate),Evaporites,,,Tortochaux(1968),
E,3,E3413,,32,N,-9.5,W,Africa,,,"N.Africa:Aaiun Basin,northwest Africa,offshore Senegal ,Essaouira Basin",Upper,Triassic,,,Evaporites,much of this probably represents Keuper and Lias material,,"Rona(1982, Table 1)",
E,4,E3414,,29,N,0,,Africa,,,N.Africa:Timimoun Basin,Upper,Triassic,,Triassic-Jurassic,Evaporites,,,Sonatrach(1979),
E,5,E3415,,30,N,8,E,Africa,Algeria,,eastern Algeria,Upper,Triassic,,,Evaporites,,,"Merabet,Popov(1972)",
E,6,E3416,,30,N,30,E,Africa,Egypt,,northern Egypt,Upper,Triassic,Norian-Rhaetian,,Evaporites,Fadda,,Keeley et al.(1990),
E,7,E3417,,30,N,11,E,Africa,Libya,,Tripolitania,Upper,Triassic,,,Evaporites,Abu Shayba,,"Lefranc,Guiraud(1990)",
E,8,E3418,,33,N,-3,W,Africa,Morocco,,central Morocco,Upper,Triassic,,"are of later Triassic age by homology w Newark Series,and frm paleontologic evidence",Evaporites,Newark Series,lacustrine eaporites,Lorenz(1976),"see also, 1988"
E,9,E3419,,30,N,-15,W,Africa,Morocco,,Essaouira and Tarfaya Basins of offshore Morocco,Upper,Triassic,later Triassic-earlier Jurassic,,Evaporites,,,Heyman(1989),
E,10,E3419.1,,18,N,5.5,E,Africa,Niger,,,L -M -U?,Triassic,,without citing any age controls,Evaporites,top of the Bassin de Tin Mersoi?,,"Bigotte,Obelianne(1968)",
E,11,E3421,,15,N,-17.5,W,Africa,Senegal,,offshore Senegal,L -M -U?,Triassic,,,Evaporites,,,"Chanut,Michelet(1988)",
