LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E3791,,32,N,6,E,Africa,Algeria,,Hassi Messaoud in eastern Algeria,L - M,Jurassic,,,Evaporites,,,"Balducchi,Pommier(1970)","see also Busson,Cornee(1991)"
E,2,E3792,,29,N,35,E,Africa,Egypt,,Gulf of Suez region,L-M-U?,Jurassic,,,Evaporites,,borehole evaporite,Said(1962),
E,3,E3793,,30,N,28,E,Africa,Egypt,,,Lower,Jurassic,Pliensbachian-Toarcian,,Evaporites,Katteniya,,Keeley et al.(1990),
E,4,E3793.1,,30.5,N,32,E,Africa,Egypt,,Eastern Desert,Lower,Jurassic,Toarcian,,Evaporites,,,Ibrahim et al.(2001),
E,5,E3794,,10,N,38,E,Africa,Ethiopia,,Blue Nile region of central Ethiopia,Lower,Jurassic,,"""Liassic-Triassic""",Evaporites,Abbai,Abbai stata gypsum,Beauchamp et al.(1990),
E,6,E3795,,-2,S,40,E,Africa,Kenya,,"northeastern,coastal Kenya from the Lamu Basin",Middle,Jurassic,,,Evaporites,,,Karanja(1993; oral comm.),
E,7,E3796,,31,N,13,E,Africa,Libya,,Ras Al Tabil,M - U,Jurassic,Sinemurian thru Bajocian,,Evaporites,"Abu Ghaylan,Bir Alghanam and Abreghs Frm",Ras Al Tabil borehole,"Cornell,Tekbali(1993)",
E,8,E3796.1,,32,N,12.5,E,Africa,Libya,,northwestern Libya,L - M,Jurassic,,Lias and Dogger,Evaporites,,,Magnier(1963),
E,9,E3797,,-20,S,45,E,Africa,Madagascar,,,Middle,Jurassic,Aalenian,,Evaporites,,,"Besairie(1972, p.114)",
E,10,E3798,,32,N,-10,W,Africa,Morocco,,offshore Eassaouira and Tarfaya Basins of Morocco,Lower,Jurassic,,later Triassic-earlier Jurassic,Evaporites,,,Heyman(1989),
E,11,E3799,,32.5,N,-3,W,Africa,Morocco,,Skoura region,Middle,Jurassic,Bathonian-?Callovian,,Evaporites,,,Charriere et al.(1994),
E,12,E3799.1,,31,N,-9,W,Africa,Morocco,,Argana Basin,Lower,Jurassic,Toarcian,,Evaporites,high Atlas Tamarout Frm,,Ait Chayeb et al.(1968),
E,13,E3799.2,,-24.5,S,17.75,E,Africa,Namibia,,,Lower,Jurassic,,,Evaporites,Kalkrand,evaporitic material,Stollhofen et al.(1998),
E,14,E3800,,34,N,-5,W,Africa,,,North Africa:area from Morocco thru Algeria to Tunisia,Lower,Jurassic,,Triassic-Jurassic,Evaporites,,,Tortochaux(1968),
E,15,E3801,,34,N,-9,E,Africa,,,North Africa:area from Morocco thru Algeria to Tunisia,Lower,Jurassic,,Triassic-Jurassic,Evaporites,,,Tortochaux(1968),
E,16,E3805,,33,N,5,E,Africa,,,North Africa: northern part of the Saharan Platform,Middle,Jurassic,,"Lias through Dogger-Triassic Province?, Chott Basin Lias and Dogger?",Evaporites,,,Sonatrach(1979),
E,17,E3802,,15,N,-18,W,Africa,,,"North Africa:Aaiun Basin of northwest Africa, the Senegal Basin",Lower,Jurassic,,,Evaporites,,,"Rona(1982, Table 1)",
E,18,E3803,,33,N,5,E,Africa,,,North Africa:Algerian Sahara,Lower,Jurassic,,,Evaporites,,,"Rona(1982, Table 1)",
E,19,E3804,,20,N,-10,W,Africa,,,North Africa:Mauretania and Morocco,Lower,Jurassic,,Upper Triassic-Lower Jurassic,Evaporites,,,Manspeizer(1988),
E,20,E3804.1,,25,N,13,E,Africa,,,North Africa:Libyan Murzuq Basin,L-M-U?,Jurassic,,,Evaporites,Tuoratine,,"Rusk(2001, Fig. 15)",
E,21,E3806,,-4.5,S,54,E,Africa,Seychelles,,"Reith Bank,Owen Bank",L - M,Jurassic,,,Evaporites,,Reith Bank -1 well also Owen Bank well,"Wolden,Belle(1992, Fig. 9)",
E,22,E3807,,2,N,44,E,Africa,Somalia,,southern Somalia,L-M-U?,Jurassic,,,Gypsum,Adigrat,,Barnes(1976),
E,23,E3808,,10,N,50.5,E,Africa,Somalia,,northern Somalia,L-M-U?,Jurassic,,,Gypsum,Hamanlei and Uarandab Frms,,Barnes(1976),
E,24,E3808.1,,-8,S,38,E,Africa,Tanzania,,Mandawa Salt Basin,Lower,Jurassic,,,Evaporites,,,"Mbede,Dualeh(1997)",
E,25,E3809,,32,N,10,E,Africa,Tunisia,,(southern Tunisia),Lower,Jurassic,(Hettangian),,Evaporites,,,"Ismail,M'Rabet(1990); Ismail, cites southern Tunisia)","(see also Kamoun et al.(2001), Fig. 5) "
E,26,E3809.1,,25,N,50,E,Asia,Arabia,,Saudi Arabia,L-M-U?,Jurassic,,,Evaporites,,,"Wilson(1985) and Wood,Wolfe(1969)",
E,27,E3809.2,,25,N,50,E,,,,,,,,,,,,,
E,28,E3810,,34,N,87,E,Asia,China,,Western China:Nadigangri,Middle,Jurassic,,,Gypsum,Yanshiping Group,,"The Comprehensive Scientific Exedition Team to the Qinghai-Xizang Plateau,Academia Sinica(1984)",
E,29,E3811,,32,N,94,E,Asia,China,,Western China:Baqing,Middle,Jurassic,,,Gypsum,Yanshiping Group,,The Bureau of Geology of Qinghai Province(1972),
E,30,E3812,,44,N,81,E,Asia,China,,Western China:Yining,L - M,Jurassic,,,Gypsum,Shuixigou,,The Compiling Group of the Regional Stratagraphy Chart of Xinjiang(1981),
E,31,E3813,,42,N,90,E,Asia,China,,Western China:Keziletage,L - M,Jurassic,,,Gypsum,Kezilenuer,,The Compiling Group of the Regional Stratagraphy Chart of Xinjiang(1981),
E,32,E3814,,37,N,89,E,Asia,China,,Western China:southeastern Qiemo,L - M,Jurassic,,,Gypsum,Taerga,coals from the same region occur at different horizons,The Compiling Group of the Regional Stratagraphy Chart of Xinjiang(1981)
E,33,E3814.1,,31,N,49,E,,,,,,,,,,,,
E,34,E3815,,32,N,45,E,Asia,Iraq,,,L-M-U?,Jurassic,,,Evaporites,,,"Alsinawi,Saadallh(1973)"
E,35,E3815.1,,30,N,43,E,Asia,Iraq,,,L-M-U?,Jurassic,,,Evaporites,Adaiyah and Alan Frms,in the fold belt,"Beydoun(1991, Figs.12,13)"
E,36,E3816,,31,N,35,E,Asia,Israel,,,Lower,Jurassic,Pliensbachian,,Evaporites,,,Hirsch(1988)
E,37,E3817,,32,N,35.5,E,Asia,Jordan,,,Lower,Jurassic,,Liassic,Gypsum,,,Basha(1995)
E,38,E3817.1,,36.6,N,74,E,Asia,Pakistan,,"Reshit Valley, North Karakoram",Middle,Jurassic,Bajocian,,Evaporites,Reshit,,Gaetani et al.(1993)
E,39,E3817.2,,36.3,N,76.75,E,,,,,,,,,,,,
E,40,E3818,,26,N,50,E,Asia,,,Middle East:Arabian and Iranian sides of the Persian Gulf,Lower,Jurassic,,Liassic,Evaporites,,,"Murris(1980,Fig. 10)"
E,41,E3819,,26,N,52,E,Asia,,,Middle East:Arabian and Iranian sides of the Persian Gulf,Lower,Jurassic,,Liassic,Evaporites,,,"Murris(1980,Fig. 10)"
E,42,E3820,,37,N,45,E,Asia,Turkey,,southeastern Turkey on the NW side of the Arabian Shield;also nearby in Iraq,L-M-U?,Jurassic,,,Evaporites,,,Uygun(1980)
E,43,E3821,,17,N,103,E,Asia,Thailand,,northeastern Thailand,L - M,Jurassic,,,Evaporites,Phu Kradung,,Hite(1973)
E,44,E3822,,45,N,-2,W,Europe,,,Bay of Biscay,L - M,Jurassic,Sinemurian-Aalenian,,Evaporites,,,"Ziegler(1982, Encl. 18)"
E,45,E3823,,51,N,-8,W,Europe,Britain,,North Celtic Sea and Fastnet Basins,Middle,Jurassic,Callovian,,Evaporites,,,Ainsworth et al.(1989)
E,46,E3823.1,,52.5,N,-5,W,Europe,Britain,,St. George's Channel Basin,Middle,Jurassic,Bathonian ,,Evaporites,,,Tappin et al.(1994)
E,47,E3824,,41,N,44,E,Europe,C.I.S.(frm USSR),,"Scythian Plate,plus the northern and southern Transcaucasus",Middle,Jurassic,Callovian,,Evaporites,,,"Adamia et al.(1990, p. 132)"
E,48,E3825,,44,N,0,,Europe,France,,southwestern France,Lower,Jurassic,,,Evaporites,,,Bouroullec(1980),
E,49,E3826,,44,N,2.5,E,Europe,France,,Detroit de Rodez,Lower,Jurassic,Hettangian,,Evaporites,,,Fuch(1980),
E,50,E3827,,50,N,1,E,Europe,France,,the Pays de Bray,Lower,Jurassic,Hettangian,,Evaporites,,,"Hallam(1984, p. 202)",
E,51,E3828,,44,N,3,E,Europe,France,,the Causses,Middle,Jurassic,Bathonian,,Evaporites,,localized evaporites above coal-bearing strata,Fursich et al.(1995),
E,52,E3828.1,,42,N,14,E,Europe,Italy,,Balsorano area,Lower,Jurassic,Sinemurian,,Evaporites,,,"Farinacci,Ridolfi(1995)",
E,53,E3829,,38,N,-9,W,Europe,Portugal,,Portugal Basin,Lower,Jurassic,,,Evaporites,,,"Rona(1982, Table 1)",
E,54,E3830,,40.5,N,-8.5,W,Europe,Portugal,,Aveiro Basin,Lower,Jurassic,Hettangian,,Evaporites,,,"Roca,Gomes(1992)",
E,55,E3831,,43,N,-6,W,Europe,Spain,,Cantabria,Lower,Jurassic,Sinemurian,,Evaporites,,,"Ziegler(1988, Pl. 27)",
E,56,E3832,,42,N,0,,Europe,Spain,,Sierra del Moncayo,Lower,Jurassic,Hettangian-lower Pliensbachian,,Evaporites,,evaporites in grabens,"San Roman,Aurell(1992)",
E,57,E3833,,45,N,-50,W,North America,Canada,,Offshore Eastern Canada:Grand Banks,Lower,Jurassic,,Upper Triassic-Lower Jurassic,Evaporites,,,Manspeizer(1988),"see also Balkwill,Legall(1989)"
E,58,E3834,,44,N,-63,W,North America,Canada,,Offshore Eastern Canada:Jeanne d'Arc and Sable Basins,Lower,Jurassic,Norian-Sinemurian,Upper Triassic-Lower Jurassic,Evaporites,,,Welsink et al.(1989),see also Tankard et al.(1989)
E,59,E3835,,50,N,-105,W,North America,Canada,,Williston Basin,Middle,Jurassic,,,Evaporites,,,"McCrossan,Glaister(1966)",
E,60,E3836,,22,N,-78,W,North America,Cuba,,Camaguey Province,L-M-U?,Jurassic,,,Evaporites,Punta Alegre ,,"Claypool et al.(1980, Appendix)","see also Meyerhoff,Hatten(1968)"
E,61,E3837,,15,N,-84,W,North America,Honduras,,Mosquitia Basin of eastern Honduras,L-M-U?,Jurassic,,,Evaporites,Louann Salt equivalent,a seismic anomaly that might represent a Louann Salt equivalent,Mills(1991),
E,62,E3837.2,,17,N,-92,W,North America,Mexico,,Chiapas,L-M-U?,Jurassic,,,Evaporites,,,Salvador(1991),
E,63,E3837.3,,18,N,-97.5,W,North America,Mexico,,Oaxaca,L-M-U?,Jurassic,,,Evaporites,,,Salvador(1991),
E,64,E3837.1,,23,N,-98,W,North America,Mexico,,Tamaulipas,L-M-U?,Jurassic,,,Evaporites,,,Salvador(1991),
E,65,E3838,,33,N,-77,W,North America,United States,,offshore eastern North America from the Carolina Trough northeast to the Scotian Basin ,Lower,Jurassic,,Upper Triassic-Lower Jurassic,Evaporites,,,Dillion et al.(1988),
E,66,E3838.1,,28.5,N,-100,W,North America,United States,,,L-M-U?,Jurassic,,,Evaporites,,,Salvador(1991),
E,67,E3838.2,,33,N,-95,W,North America,United States,,,L-M-U?,Jurassic,,,Evaporites,,,Salvador(1991),
E,68,E3838.3,,30,N,-85,W,North America,United States,,,L-M-U?,Jurassic,,,Evaporites,,,Salvador(1991),
E,69,E3838.4,,41,N,-68.3,W,North America,United States,,Georges Bank area,Middle,Jurassic,,Early-Middle Jurassic,Evaporites,,COST No. G-1 Well,"Amato,Bebout(1980)",
E,70,E3838.5,,40.9,N,-67.5,W,North America,United States,,Georges Bank area,Middle,Jurassic,,Early-Middle Jurassic,Evaporites,,COST No. G-2 Well,"Amato,Simonis(1980)",
E,71,E3839,,32,N,-87,W,North America,United States,,Alabama,L-M-U?,Jurassic,,,Evaporites,Werner,,Johnson et al.(1989),
