LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E4384,,33,N,5,E,Africa,Algeria,,western Sahara Atlas,Upper,Jurassic,,,Evaporites,,,Sonatrach(1979),
E,2,E4393,,0,,22,E,Africa,Dem. Rep. of Congo(frm Zaire),,Equateur and Kasai Provinces,Upper,Jurassic,,or Lower Cretaceous,Evaporites,,analcime bearing,"Vanderstappen,Verbeek(1959)",
E,3,E4385,,30,N,28,E,Africa,Egypt,,northern Egypt,Upper,Jurassic,Kimmeridgian-Tithonian,,Evaporites,"""Upper Limestone""",,Keeley et al.(1990),
E,4,E4386,,5,N,42,E,Africa,Ethiopia,,Oraden region,Upper,Jurassic,,,Evaporites,Gabredarre ,,Barnes(1976),
E,5,E4387,,13.5,N,39.5,E,Africa,Ethiopia,,"Mekele Outlier,northern Ethiopia",Upper,Jurassic,,,Evaporites,Agula Shale,,Beyth(1973a),
E,6,E4387.1,,9.5,N,41.5,E,Africa,Ethiopia,,"Dire Dawa, Harar Province",Upper,Jurassic,Kimmeridgian ,,Evaporites,Daghani Shale,,Bosellini et al.(2001),
E,7,E4387.2,,25,N,13,E,Africa,Libya,,Murzuq Basin,Upper,Jurassic,,,Evaporites,Taourantine,,"Rusk(2001, Fig. 15)",
E,8,E4388,,34,N,-5,W,Africa,Morocco,,,Upper,Jurassic,,,Evaporites,,,Salvan(1972),
E,9,E4388.1,,-20.45,S,14,E,Africa,Namibia,,,Upper,Jurassic,,later Jurassic-earlier Cretaceous,Evaporites,eolian Etjo Sandstone,,Mountney et al.(1998),
E,10,E4388.2,,18,N,5.5,E,Africa,Niger,,,Upper,Jurassic,,,Evaporites,Basin de Tin Mersoi Basin,analcime beds at the top,"Bigotte,Obellianne(1968)",
E,11,E4388.3,,-4.5,S,54,E,Africa,Seychelles,,,Upper,Jurassic,,,Evaporites,,Owen Bank Well,"Wolden,Belle(1992)",
E,12,E4889,,0,,43,E,Africa,Somalia,,coastal Somalia,Upper,Jurassic,,,Evaporites,,,Barnes(1976),
E,13,E4889.1,,3,N,42,E,Africa,Somalia,,Mandera-Lich Basin,Upper,Jurassic,,,Evaporites,Garbe Harre,,"Beltrandi,Pyre(1973)",
E,14,E4890,,-33.8,S,25,E,Africa,South Africa,,,Upper,Jurassic,,,Evaporites,Kirkwood,,"Dingle et al.(1983, p. 130)",
