LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Series,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E6004,,35,N,7,E,Africa,Algeria,,northeastern Algeria,Middle,Paleogene,Eocene,,Eocene,Evaporites,,,"Merabet,Popov(1972)",
E,2,E6004.1,,36,N,7.5,E,Africa,Algeria,,Tebessa region,Middle,Paleogene,Eocene,Lutetian,Eocene,Evaporites,,,Faid(1999),
E,3,E6004.2,,34.5,N,-0.5,E,Africa,Algeria,,eastern Algeria,Middle,Paleogene,Eocene,Lutetian,Eocene,Evaporites,,,"Tabuce et al.(2001, Fig. 1)",
E,4,E6005,,29.5,N,31,E,Africa,Egypt,,Fatum and Gebel Mokattam,Middle,Paleogene,Eocene,,Middle and Late Eocene,Evaporites,,"gypsiferous beds, and celestite nodules at varied horizons",Gingerich(1992),see also Rasmussen et al.(2001)
E,5,E6006,,30,N,34,E,Africa,Egypt,,Sinai,Middle,Paleogene,Eocene,,Middle and Upper Eocene,Evaporites,,,Jenkins(1990),
E,6,E6007,,28,N,17,E,Africa,Libya,,Sirt Basin,Middle,Paleogene,Eocene,,"see also Lashhlab et al.,(1992),and Anketell,Kumati,(1992), for Upper Eocene",Evaporites,Gir,,Abushagur(1992),
E,7,E6008,,33,N,12,E,Africa,Libya,,offshore western Libya,Middle,Paleogene,Eocene,,Middle and Upper Eocene,Evaporites,,,Sbeta(1992),
E,8,E6009,,32,N,-3,W,Africa,Morocco,,,Middle,Paleogene,Eocene,,Eocene,Evaporites,,,"Torochaux(1968, p. 110)",
E,9,E6009.1,,31,N,-7,W,Africa,Morocco,,,Middle,Paleogene,Eocene,,Late Eocene,Evaporites,Hadida,,Harfi et al.(2001),
E,10,E6010,,8,N,49,E,Africa,Somalia,,coastal Somalia,Middle,Paleogene,Eocene,,Eocene,Evaporites,,,Barnes(1976),
E,11,E6011,,11,N,49,E,Africa,Somalia,,,Middle,Paleogene,Eocene,,Lower and Early Middle Eocene,Evaporites,Taleh,,Schreiber(1993),
E,12,E60011.1,,35,N,9,E,Africa,Tunisia,,central Atlas,L -M -U?,Paleogene,Eocene,,,Evaporites,Jebs,,Bedir et al.(2001),
E,13,E6012,,38,N,117,E,Asia,China,,North China:Bohai Bay area,Middle,Paleogene,Eocene,,Upper Eocene,Evaporites,Shehejie Frm-member 3,,Wang Xie-pei et al.(1985),"see also Chen Fe-jing,Zhang Shu-lin,(1991)"
E,14,E6013,,31,N,112,E,Asia,China,,North China:within Hubei Province,Middle,Paleogene,Eocene,,Upper Eocene,Evaporites,Shehejie Frm-member 3,,Wang Xie-pei et al.(1985),"see also Chen Fe-jing,Zhang Shu-lin,(1991)"
