LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E6650,,34,N,6,E,Africa,,,,,Neogene,,,Evaporites,,,,
E,2,E6651,,27.5,N,33.5,E,Africa,,,,,Neogene,,,,,,,
E,3,E6652,,0,,40,E,Africa,,,,,Neogene,,,,,,,
E,4,E6652.1,,2.5,N,37,E,Africa,,,,,Neogene,,,,,,,
E,5,E6653,,32,N,-5,W,Africa,,,,,Neogene,,,,,,,
E,6,E6654,,32,N,-7,W,Africa,,,,,Neogene,,,,,,,
E,7,E6654.1,,32.5,N,-5,W,Africa,,,,,Neogene,,,,,,,
E,8,E6655,,29,N,33,E,Africa,,,,,Neogene,,,,,,,
E,9,E6656,,25,N,36,E,Africa,,,,,Neogene,,,,,,,
E,10,E6657,,9,N,50,E,Africa,,,,,Neogene,,,,,,,
E,11,E6658,,-22,S,35,E,Africa,,,,,Neogene,,,,,,,
E,12,E6662,,24,N,54,E,Asia,,,,,Neogene,,,,,,,
E,13,E6659,,34.5,N,69.7,E,Asia,,,,,Neogene,,,,,,,
E,14,E6663,,40,N,85,E,Asia,,,,,Neogene,,,,,,,
E,15,E6664,,38,N,91,E,Asia,,,,,Neogene,,,,,,,
E,16,E6665,,37,N,90,E,Asia,,,,,Neogene,,,,,,,
E,17,E6666,,43,N,89,E,Asia,,,,,Neogene,,,,,,,
E,18,E6667,,43,N,88,E,Asia,,,,,Neogene,,,,,,,
E,19,E6668,,36,N,104,E,Asia,,,,,Neogene,,,,,,,
E,20,E6669,,40,N,98,E,Asia,,,,,Neogene,,,,,,,
E,21,E6670,,39,N,102,E,Asia,,,,,Neogene,,,,,,,
E,22,E6671,,37,N,103.5,E,Asia,,,,,Neogene,,,,,,,
E,23,E6672,,37,N,103.5,E,Asia,,,,,Neogene,,,,,,,
