LithologyCode,LithNumber,OldIDNumber,LAT,NS,LONG,EW,Latitude,Longitude,Continent,Country,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
A,1,,-63,,-60.6,,-630,-606,ANTARCTICA,,,,,,,,,,,
A,214,,-4.3,,152.2,,-43,1522,NEW BRIT.,,,,,,,,,,,
A,227,,-6.1,,155.2,,-61,1552,SOLOMON IS,,,,,,,,,,,
A,234,,-8.9,,148.2,,-89,1482,PAPUA N.G.,,,,,,,,,,,
A,236,,-9,,157.9,,-90,1579,SOLOMON IS,,,,,,,,,,,
A,238,,-9.1,,159.8,,-91,1598,SOLOMON IS,,,,,,,,,,,
A,247,,-9.6,,149.1,,-96,1491,PAPUA N.G.,,,,,,,,,,,
A,515,,-16.9,,168.5,,-169,1685,NEW HEBRI.,,,,,,,,,,,
A,585,,-18.1,,-174.3,,-181,-1743,TONGA ISL.,,,,,,,,,,,
A,628,,-18.8,,-174.6,,-188,-1746,TONGA ISL.,,,,,,,,,,,
A,677,,-19.5,,169.4,,-195,1694,NEW HEBRI.,,,,,,,,,,,
A,695,,-19.8,,-175.1,,-198,-1751,TONGA ISL.,,,,,,,,,,,
A,725,,-20.3,,-175.4,,-203,-1754,TONGA ISL.,,,,,,,,,,,
A,985,,-29.3,,-177.9,,-293,-1779,KERMADEC,,,,,,,,,,,
A,1050,,-37.5,,177.2,,-375,1772,NEW ZEAL.,,,,,,,,,,,
A,1054,,-38.2,,176.5,,-382,1765,NEW ZEAL.,,,,,,,,,,,
A,1056,,-38.7,,176,,-387,1760,NEW ZEAL.,,,,,,,,,,,
A,1060,,-39.3,,174,,-393,1740,NEW ZEAL.,,,,,,,,,,,
A,1061,,-39.3,,175.5,,-393,1755,NEW ZEAL.,,,,,,,,,,,
A,1213,,51.8,,-178.8,,518,-1788,USA/ALASKA,,,,,,,,,,,
A,1214,,51.9,,178.5,,519,1785,USA/ALASKA,,,,,,,,,,,
A,1215,,51.9,,179.6,,519,1796,USA/ALASKA,,,,,,,,,,,
A,1216,,51.9,,-177.2,,519,-1772,USA/ALASKA,,,,,,,,,,,
A,1217,,51.9,,-178.1,,519,-1781,USA/ALASKA,,,,,,,,,,,
A,1224,,52.1,,177.6,,521,1776,USA/ALASKA,,,,,,,,,,,
A,1225,,52.1,,-176.1,,521,-1761,USA/ALASKA,,,,,,,,,,,
A,1227,,52.2,,-175.1,,522,-1751,USA/ALASKA,,,,,,,,,,,
A,1228,,52.3,,-172.4,,523,-1724,USA/ALASKA,,,,,,,,,,,
A,1229,,52.3,,-174,,523,-1740,USA/ALASKA,,,,,,,,,,,
A,1230,,52.4,,-174.2,,524,-1742,USA/ALASKA,,,,,,,,,,,
A,1242,,52.5,,-171.3,,525,-1713,USA/ALASKA,,,,,,,,,,,
A,1244,,52.6,,-170.6,,526,-1706,USA/ALASKA,,,,,,,,,,,
A,1251,,52.9,,-170.1,,529,-1701,USA/ALASKA,,,,,,,,,,,
A,1258,,53.1,,-168.7,,531,-1687,USA/ALASKA,,,,,,,,,,,
A,1263,,53.4,,-168,,534,-1680,USA/ALASKA,,,,,,,,,,,
A,1285,,53.9,,-166.4,,539,-1664,USA/ALASKA,,,,,,,,,,,
A,1293,,54.1,,-166,,541,-1660,USA/ALASKA,,,,,,,,,,,
A,1318,,54.6,,-164.7,,546,-1647,USA/ALASKA,,,,,,,,,,,
A,1322,,54.7,,-164,,547,-1640,USA/ALASKA,,,,,,,,,,,
A,1345,,55.4,,-161.9,,554,-1619,USA/ALASKA,,,,,,,,,,,
A,1382,,56.2,,-159.4,,562,-1594,USA/ALASKA,,,,,,,,,,,
A,1430,,56.9,,-158.2,,569,-1582,USA/ALASKA,,,,,,,,,,,
A,1451,,57.1,,-157,,571,-1570,USA/ALASKA,,,,,,,,,,,
A,1483,,57.7,,-156.3,,577,-1563,USA/ALASKA,,,,,,,,,,,
A,1583,,59.4,,-153.4,,594,-1534,USA/ALASKA,,,,,,,,,,,
A,1668,,60.5,,-152.7,,605,-1527,USA/ALASKA,,,,,,,,,,,
A,1746,,62,,-144,,620,-1440,USA/AK,,,,,,,,,,,
A,2143,,24.6,,123.9,,246,1239,RYUKYU ISL,,,,,,,,,,,
A,2193,,27.9,,128.2,,279,1282,RYUKYU ISL,,,,,,,,,,,
A,2221,,29.5,,129.7,,295,1297,RYUKYU ISL,,,,,,,,,,,
A,2262,,30.4,,130.3,,304,1303,RYUKYU ISL,,,,,,,,,,,
A,2308,,31.2,,130.5,,312,1305,JAPAN,,,,,,,,,,,
A,2341,,31.9,,130.9,,319,1309,JAPAN,,,,,,,,,,,
A,2382,,32.7,,130.3,,327,1303,JAPAN,,,,,,,,,,,
A,2393,,32.9,,131.1,,329,1311,JAPAN,,,,,,,,,,,
A,2513,,35.3,,138.7,,353,1387,JAPAN,,,,,,,,,,,
A,2551,,36.2,,136.8,,362,1368,JAPAN,,,,,,,,,,,
A,2552,,36.2,,137.6,,362,1376,JAPAN,,,,,,,,,,,
A,2563,,36.4,,138.5,,364,1385,JAPAN,,,,,,,,,,,
A,2573,,36.5,,139.2,,365,1392,JAPAN,,,,,,,,,,,
A,2587,,36.9,,138,,369,1380,JAPAN,,,,,,,,,,,
A,2594,,37.1,,140,,371,1400,JAPAN,,,,,,,,,,,
A,2634,,37.7,,140.2,,377,1402,JAPAN,,,,,,,,,,,
A,2657,,38.1,,140.4,,381,1404,JAPAN,,,,,,,,,,,
A,2724,,39,,140.8,,390,1408,JAPAN,,,,,,,,,,,
A,2729,,39.1,,140,,391,1400,JAPAN,,,,,,,,,,,
A,2792,,39.8,,141,,398,1410,JAPAN,,,,,,,,,,,
A,2847,,40.6,,140.3,,406,1403,JAPAN,,,,,,,,,,,
A,2894,,41.5,,139.4,,415,1394,JAPAN,,,,,,,,,,,
A,2918,,42.1,,140.7,,421,1407,JAPAN,,,,,,,,,,,
A,2948,,42.7,,141.4,,427,1414,JAPAN,,,,,,,,,,,
A,2979,,43.4,,142.7,,434,1427,JAPAN,,,,,,,,,,,
A,2980,,43.4,,144,,434,1440,JAPAN,,,,,,,,,,,
A,2999,,44.1,,145.2,,441,1452,JAPAN,,,,,,,,,,,
A,3669,,28.3,,61.4,,283,614,PAKISTAN,,,,,,,,,,,
A,5337,,1.2,,-77.3,,12,-773,COLOMBIA,,,,,,,,,,,
A,5340,,1.5,,-76.9,,15,-769,COLOMBIA,,,,,,,,,,,
A,5345,,2.4,,-76.4,,24,-764,COLOMBIA,,,,,,,,,,,
A,5357,,4.9,,-75.4,,49,-754,COLOMBIA,,,,,,,,,,,
A,5365,,10.2,,-84.2,,102,-842,COSTA RICA,,,,,,,,,,,
A,5366,,12.4,,-86.5,,124,-865,NICARAGUA,,,,,,,,,,,
A,5369,,-0.2,,-78.6,,-2,-786,ECUADOR,,,,,,,,,,,
A,5373,,-0.5,,-77.7,,-5,-777,ECUADOR,,,,,,,,,,,
A,5377,,-1.2,,-78.2,,-12,-782,ECUADOR,,,,,,,,,,,
A,5378,,-2,,-78.3,,-20,-783,ECUADOR,,,,,,,,,,,
A,5459,,-16.3,,-71.4,,-163,-714,PERU,,,,,,,,,,,
A,5462,,-16.6,,-70.9,,-166,-709,PERU,,,,,,,,,,,
A,5465,,-17,,-70.4,,-170,-704,PERU,,,,,,,,,,,
A,5477,,-18.4,,-69.1,,-184,-691,CHILE,,,,,,,,,,,
A,5484,,-19.1,,-68.8,,-191,-688,CHILE,,,,,,,,,,,
A,5512,,-21.9,,-68.4,,-219,-684,CHILE,,,,,,,,,,,
A,5519,,-23.4,,-67.7,,-234,-677,CHILE,,,,,,,,,,,
A,5524,,-24.7,,-68.5,,-247,-685,CHILE,,,,,,,,,,,
A,5535,,-33.4,,-69.8,,-334,-698,ARGENTINA,,,,,,,,,,,
A,5538,,-33.8,,-69.9,,-338,-699,ARGENTINA,,,,,,,,,,,
A,5540,,-35.2,,-70.6,,-352,-706,CHILE,,,,,,,,,,,
A,5542,,-35.7,,-70.8,,-357,-708,CHILE,,,,,,,,,,,
A,5544,,-36.9,,-71.4,,-369,-714,CHILE,,,,,,,,,,,
A,5550,,-37.4,,-71.4,,-374,-714,CHILE,,,,,,,,,,,
A,5551,,-37.8,,-71.2,,-378,-712,CHILE,,,,,,,,,,,
A,5555,,-38.7,,-71.7,,-387,-717,CHILE,,,,,,,,,,,
A,5558,,-39.4,,-71.9,,-394,-719,CHILE,,,,,,,,,,,
A,5559,,-39.9,,-72,,-399,-720,CHILE,,,,,,,,,,,
A,5562,,-40.6,,-72.1,,-406,-721,CHILE,,,,,,,,,,,
A,5564,,-41.1,,-72.5,,-411,-725,CHILE,,,,,,,,,,,
A,5565,,-42.3,,-72.7,,-423,-727,CHILE,,,,,,,,,,,
A,5566,,-42.8,,-72.4,,-428,-724,CHILE,,,,,,,,,,,
A,5567,,-43.2,,-72.8,,-432,-728,CHILE,,,,,,,,,,,
A,5570,,-49,,-73.5,,-490,-735,CHILE,,,,,,,,,,,
A,5579,,-52.3,,-73.4,,-523,-734,CHILE,,,,,,,,,,,
A,5626,,0.7,,99.5,,7,995,INDON./SUM,,,,,,,,,,,
A,5630,,0.8,,127.3,,8,1273,INDON./HAL,,,,,,,,,,,
A,5639,,1.1,,124.7,,11,1247,INDON./CEL,,,,,,,,,,,
A,5653,,1.5,,125.2,,15,1252,INDON./CEL,,,,,,,,,,,
A,5657,,1.7,,127.9,,17,1279,INDON./HAL,,,,,,,,,,,
A,5668,,2.3,,125.4,,23,1254,INDON./SAN,,,,,,,,,,,
A,5678,,2.8,,125.5,,28,1255,INDON./SAN,,,,,,,,,,,
A,5684,,3.1,,125.5,,31,1255,INDON./SAN,,,,,,,,,,,
A,5695,,3.7,,125.5,,37,1255,INDON./SAN,,,,,,,,,,,
A,5701,,4,,128.2,,40,1282,INDON./SAN,,,,,,,,,,,
A,5714,,4.9,,96.3,,49,963,INDON./SUM,,,,,,,,,,,
A,5724,,5.4,,95.6,,54,956,INDON./SUM,,,,,,,,,,,
A,5726,,5.4,,125.4,,54,1254,PHILIPPINE,,,,,,,,,,,
A,5735,,5.9,,121.2,,59,1212,PHILIPPINE,,,,,,,,,,,
A,5795,,7.7,,124.5,,77,1245,PHILIPPINE,,,,,,,,,,,
A,5842,,9.2,,124.7,,92,1247,PHILIPPINE,,,,,,,,,,,
A,5874,,10.4,,123.1,,104,1231,PHILIPPINE,,,,,,,,,,,
A,5916,,12.2,,93.8,,122,938,INDIA/AND.,,,,,,,,,,,
A,5924,,12.8,,124,,128,1240,PHILIPPINE,,,,,,,,,,,
A,5932,,13.2,,123.7,,132,1237,PHILIPPINE,,,,,,,,,,,
A,5945,,14,,121,,140,1210,PHILIPPINE,,,,,,,,,,,
A,5971,,18.2,,122.1,,182,1221,PHILIPPINE,,,,,,,,,,,
A,5974,,19.1,,122.2,,191,1222,PHILIPPINE,,,,,,,,,,,
A,5975,,19.5,,121.9,,195,1219,PHILIPPINE,,,,,,,,,,,
A,5980,,20.3,,121.7,,203,1217,PHILIPPINE,,,,,,,,,,,
A,5983,,20.9,,95.3,,209,953,BURMA,,,,,,,,,,,
A,5985,,21.8,,121.2,,218,1212,CHINA SEA,,,,,,,,,,,
A,5992,,24,,121.8,,240,1218,CHINA SEA,,,,,,,,,,,
A,5997,,25.4,,122.3,,254,1223,CHINA SEA,,,,,,,,,,,
A,5998,,26.2,,122.4,,262,1224,CHINA SEA,,,,,,,,,,,
A,6011,,-0.2,,121.6,,-2,1216,INDON./CEL,,,,,,,,,,,
A,6015,,-0.4,,100.3,,-4,1003,INDON./SUM,,,,,,,,,,,
A,6032,,-1,,100.7,,-10,1007,INDON./SUM,,,,,,,,,,,
A,6043,,-1.2,,134,,-12,1340,INDON./NG,,,,,,,,,,,
A,6059,,-1.7,,101.3,,-17,1013,INDON./SUM,,,,,,,,,,,
A,6086,,-2.4,,101.7,,-24,1017,INDON./SUM,,,,,,,,,,,
A,6129,,-3.5,,102.6,,-35,1026,INDON./SUM,,,,,,,,,,,
A,6147,,-4,,103.1,,-40,1031,INDON./SUM,,,,,,,,,,,
A,6159,,-4.3,,152.2,,-43,1522,PAPUA/N.G.,,,,,,,,,,,
A,6165,,-4.5,,129.9,,-45,1299,INDON./BAN,,,,,,,,,,,
A,6169,,-4.6,,146,,-46,1460,PAPUA N.G.,,,,,,,,,,,
A,6180,,-4.9,,151.2,,-49,1512,PAPUA N.G.,,,,,,,,,,,
A,6241,,-6.1,,105.4,,-61,1054,INDON./SUN,,,,,,,,,,,
A,6247,,-6.3,,130,,-63,1300,INDON./BAN,,,,,,,,,,,
