,Time Slices,Time intervals,From_age,To_age,bar_width,Ave_age,Consistent Marine Fossils,Inconsistent Marine Fossils,Overall Marine Fossils,Marine Fossil Consistency Ratio,Consistent Terrestrial Fossils,Inconsistent Terrestrial Fossils,Overall Terrestrial Fossils,Terrestrial Fossil Consistency Ratio,Marine+Terrestrial fossils,Invalid_Fossils,Outside polygons fossils,Fossils collections Sum,Overall Consistency ratio
Cenozoic,fig_64_11_2 (6),6,11,2,9,6.5,1338,30,1368,0.9781,507,32,539,0.9406,1907,400,0,2307,0.9675
,fig_62_20_11 (14),14,20,11,9,15.5,1323,55,1378,0.9601,571,42,613,0.9315,1991,48,0,2039,0.9513
,fig_60_29_20 (22),22,29,20,9,24.5,541,56,597,0.9062,233,12,245,0.951,842,12,0,854,0.9192
,fig_58_37_29 (33),33,37,29,8,33,22,0,22,1,17,2,19,0.8947,41,0,0,41,0.9512
,fig_56_49_37 (43),45,49,37,12,43,741,60,801,0.9251,310,22,332,0.9337,1133,30,0,1163,0.9276
,fig_54_58_49 (53),53,58,49,9,53.5,27,1,28,0.9643,544,0,544,1,572,0,0,572,0.9983
Mesozoic,fig_52_81_58 (76),76,81,58,23,69.5,1405,83,1488,0.9442,614,14,628,0.9777,2116,96,0,2212,0.9542
,fig_50_94_81 (90),90,94,81,13,87.5,1677,26,1703,0.9847,133,14,147,0.9048,1850,92,0,1942,0.9784
,fig_48_117_94 (105),105,117,94,23,105.5,942,5,947,0.9947,181,47,228,0.7939,1175,45,0,1220,0.9557
,fig_46_135_117 (126),126,135,117,18,126,606,2,608,0.9967,302,60,362,0.8343,970,100,0,1070,0.9361
,fig_44_146_135 (140),140,146,135,11,140.5,603,25,628,0.9602,49,1,50,0.98,678,181,0,859,0.9617
,fig_42_166_146 (152),152,166,146,20,156,2007,20,2027,0.9901,76,41,117,0.6496,2144,113,0,2257,0.9715
,fig_40_179_166 (169),169,179,166,13,172.5,1039,46,1085,0.9576,51,13,64,0.7969,1149,109,0,1258,0.9487
,fig_38_203_179 (195),195,203,179,24,191,2677,98,2775,0.9647,127,51,178,0.7135,2953,24,0,2977,0.9495
,fig_36_224_203 (218),218,224,203,21,213.5,391,11,402,0.9726,13,1,14,0.9286,416,35,0,451,0.9712
,fig_34_248_224 (232),232,248,224,24,236,1787,21,1808,0.9884,260,26,286,0.9091,2094,53,0,2147,0.9776
Paleozoic,fig_32_269_248 (255),255,269,248,21,258.5,4025,5,4030,0.9988,168,48,216,0.7778,4246,69,0,4315,0.9875
,fig_30_285_269 (277),277,285,269,16,277,1051,77,1128,0.9317,43,7,50,0.86,1178,2,0,1180,0.9287
,fig_28_296_285 (287),287,296,285,11,290.5,765,9,774,0.9884,24,0,24,1,798,9,0,807,0.9887
,fig_26_323_296 (302),302,323,296,27,309.5,1129,62,1191,0.9479,209,76,285,0.7333,1476,9,0,1485,0.9065
,fig_24_338_323 (328),328,338,323,15,330.5,462,1,463,0.9978,6,0,6,1,469,0,0,469,0.9979
,fig_22_359_338 (348),348,359,338,21,348.5,506,4,510,0.9922,33,0,33,1,543,100,0,643,0.9926
,fig_20_380_359 (368),368,380,359,21,369.5,274,10,284,0.9648,5,1,6,0.8333,290,18,0,308,0.9621
,fig_18_402_380 (396),396,402,380,22,391,2122,15,2137,0.993,5,13,18,0.2778,2155,69,0,2224,0.987
