Times,Sea_level
0,57.49787334
0.1,58.14762055
0.2,58.79779159
0.3,59.44994593
0.4,60.10256893
0.5,60.75729304
0.6,61.41253654
0.7,62.07000744
0.8,62.7280552
0.9,63.38846534
1,64.04951742
1.1,64.71307576
1.2,65.37734984
1.3,66.04428307
1.4,66.71201573
1.5,67.38256956
1.6,68.05401781
1.7,68.72845841
1.8,69.40390131
1.9,70.08251684
2,70.76225728
2.1,71.44535956
2.2,72.12971974
2.3,72.81762125
2.4,73.5068098
2.5,74.1994038
2.6,74.89320924
2.7,75.59002102
2.8,76.28795813
2.9,76.98851027
3,77.69009336
3.1,78.39391715
3.2,79.09866813
3.3,79.80530246
3.4,80.51274994
3.5,81.22174025
3.6,81.93141852
3.7,82.64231576
3.8,83.35376387
3.9,84.06612346
4,84.77888423
4.1,85.49226501
4.2,86.20588409
4.3,86.91984728
4.4,87.63387218
4.5,88.34798038
4.6,89.06195951
4.7,89.77577568
4.8,90.48925738
4.9,91.20234379
5,91.91487538
5.1,92.62679261
5.2,93.33791942
5.3,94.04822531
5.4,94.75748973
5.5,95.4657384
5.6,96.17269382
5.7,96.87846321
5.8,97.58280396
5.9,98.28591075
6,98.98751448
6.1,99.68789357
6.2,100.3866919
6.3,101.0842735
6.4,101.7801926
6.5,102.4749009
6.6,103.167861
6.7,103.8596146
6.8,104.5495296
6.9,105.2382405
7,105.9250181
7.1,106.6105925
7.2,107.2941339
7.3,107.976471
7.4,108.6566707
7.5,109.3356634
7.6,110.0124091
7.7,110.6879432
7.8,111.3611156
7.9,112.0330697
8,112.7025421
8.1,113.3707877
8.2,114.036426
8.3,114.7008267
8.4,115.3624891
8.5,116.0229008
8.6,116.6804376
8.7,117.3367079
8.8,117.9899611
8.9,118.6419292
9,119.2907323
9.1,119.9382287
9.2,120.5824055
9.3,121.22525
9.4,121.8644875
9.5,122.5023135
9.6,123.1359811
9.7,123.7680566
9.8,124.3953679
9.9,125.0208872
10,125.6410099
10.1,126.2591284
10.2,126.8711909
10.3,127.4810199
10.4,128.0841072
10.5,128.6847093
10.6,129.2778586
10.7,129.8682419
10.8,130.4504388
10.9,131.0295516
11,131.5997252
11.1,132.1664502
11.2,132.7234693
11.3,133.2766175
11.4,133.8192941
11.5,134.3576098
11.6,134.8848202
11.7,135.4071506
11.8,135.9178593
11.9,136.4231245
12,136.9162769
12.1,137.4033262
12.2,137.8778008
12.3,138.345403
12.4,138.8000065
12.5,139.2468449
12.6,139.6803082
12.7,140.1049749
12.8,140.5159489
12.9,140.9169391
13,141.3039908
13.1,141.6796962
13.2,142.0413038
13.3,142.3900062
13.4,142.7245548
13.5,143.0444188
13.6,143.3501955
13.7,143.6392611
13.8,143.9144505
13.9,144.1706248
14,144.4135718
14.1,144.6353192
14.2,144.8456894
14.3,145.0344028
14.4,145.2137459
14.5,145.3715013
14.6,145.5217269
14.7,145.6504405
14.8,145.773305
14.9,145.8747441
15,145.9718631
15.1,146.0476559
15.2,146.1205147
15.3,146.1721596
15.4,146.2221232
15.5,146.2509971
15.6,146.2793184
15.7,146.286684
15.8,146.2940495
15.9,146.2815246
16,146.2685372
16.1,146.2376246
16.2,146.2053387
16.3,146.1569031
16.4,146.1062773
16.5,146.0411153
16.6,145.9730337
16.7,145.8921796
16.8,145.8078387
16.9,145.7126178
17,145.6135557
17.1,145.50532
17.2,145.3930251
17.3,145.2730789
17.4,145.1489766
17.5,145.0185771
17.6,144.8840367
17.7,144.7443986
17.8,144.6007395
17.9,144.4530399
18,144.3015379
18.1,144.1469208
18.2,143.9888144
18.3,143.8283953
18.4,143.6648911
18.5,143.4997616
18.6,143.3320406
18.7,143.1632724
18.8,142.9924951
18.9,142.821142
19,142.6484446
19.1,142.4754407
19.2,142.3015517
19.3,142.1274494
19.4,141.9525667
19.5,141.7775405
19.6,141.6018242
19.7,141.4260206
19.8,141.2496297
19.9,141.073194
20,140.8962867
20.1,140.7193635
20.2,140.5420973
20.3,140.3648307
20.4,140.1873624
20.5,140.0098941
20.6,139.8323823
20.7,139.6548686
20.8,139.4774568
20.9,139.3000543
21,139.122886
21.1,138.9457515
21.2,138.7689704
21.3,138.5922608
21.4,138.4160111
21.5,138.2398842
21.6,138.0643106
21.7,137.888925
21.8,137.7141732
21.9,137.5396882
22,137.3659048
22.1,137.1924812
22.2,137.0198141
22.3,136.8476139
22.4,136.6762122
22.5,136.5053994
22.6,136.3354138
22.7,136.166154
22.8,135.9977369
22.9,135.8301979
23,135.6635037
23.1,135.4978556
23.2,135.3330406
23.3,135.1694562
23.4,135.0066791
23.5,134.8453338
23.6,134.6847911
23.7,134.5259749
23.8,134.368658
23.9,134.2153132
24,134.0645393
24.1,133.922348
24.2,133.7833417
24.3,133.6582167
24.4,133.536384
24.5,133.4344073
24.6,133.3352916
24.7,133.2627737
24.8,133.1920992
24.9,133.1556414
25,133.1193568
25.1,133.1259148
25.2,133.1324728
25.3,133.1871826
25.4,133.2441278
25.5,133.352108
25.6,133.4654007
25.7,133.6284689
25.8,133.8000037
25.9,134.0198419
26,134.2514465
26.1,134.5303509
26.2,134.8245087
26.3,135.1655155
26.4,135.5254061
26.5,135.9323781
26.6,136.361932
26.7,136.8396776
26.8,137.3436472
26.9,137.8980781
27,138.4821277
27.1,139.1204666
27.2,139.7912846
27.3,140.5218811
27.4,141.2866076
27.5,142.1117282
27.6,142.9672653
27.7,143.8788963
27.8,144.8133484
27.9,145.7992818
28,146.800471
28.1,147.8477148
28.2,148.9034431
28.3,149.9984357
28.4,151.097055
28.5,152.2252243
28.6,153.3554587
28.7,154.501517
28.8,155.6487966
28.9,156.8005149
29,157.9501442
29.1,159.0952851
29.2,160.2325901
29.3,161.3590185
29.4,162.4729954
29.5,163.5753468
29.6,164.6659912
29.7,165.7492051
29.8,166.8228162
29.9,167.8923695
30,168.9552278
30.1,170.0163213
30.2,171.0744016
30.3,172.1320615
30.4,173.1911789
30.5,174.2505752
30.6,175.3146804
30.7,176.3788869
30.8,177.443791
