Sea_level,Times,,
-20.5,255,,
-21.6,256,,
-21.6,256,,
-20.5,257,,
-18.6,257,,
-15.2,258,,
-10.2,259,,
-4.14,259,,
0.422,260,,
6.12,261,,
13,261,,
17.1,262,,
22.1,263,,
25.5,263,,
29.7,264,,
32.7,264,,
36.5,265,,
40.3,265,,
43.7,266,,
47.5,267,,
50.6,268,,
52.5,268,,
55.1,269,,
56.6,269,,
58.2,270,,
58.9,271,,
59.3,272,,
59.3,272,,
59.3,273,,
58.9,274,,
58.5,274,,
58.2,275,,
58.5,276,,
58.2,276,,
57.4,277,,
57.4,278,,
56.6,279,,
56.3,279,,
55.5,280,,
54.7,281,,
54.4,282,,
54.7,283,,
55.1,284,,
55.1,285,,
54.7,285,,
54.4,286,,
53.6,287,,
53.6,288,,
53.2,289,,
53.2,290,,
53.2,290,,
53.2,291,,
54.7,292,,
57,292,,
60.4,293,,
65,294,,
69.6,294,,
74.1,295,,
77.9,296,,
81.7,296,,
84.8,297,,
87,298,,
88.6,298,,
89.3,299,,
87.8,300,,
85.9,300,,
83.2,301,,
80.2,302,,
77.5,302,,
77.2,303,,
76.4,304,,
76.4,305,,
75.6,305,,
73.7,306,,
70.7,307,,
64.6,308,,
60.4,308,,
53.6,309,,
44.5,310,,
37.3,311,,
28.9,312,,
22.1,313,,
16.8,313,,
13,314,,
9.16,315,,
6.88,316,,
6.12,316,,
6.12,317,,
8.02,318,,
11.4,319,,
15.2,319,,
20.9,320,,
30.8,321,,
37.3,321,,
42.2,322,,
44.9,322,,
45.2,323,,
44.5,324,,
44.5,324,,
46.8,325,,
49.8,326,,
51.3,326,,
51.7,327,,
51.7,328,,
52.5,329,,
54,330,,
54.7,330,,
57.4,331,,
60.1,332,,
62.7,333,,
65.8,334,,
69.2,335,,
73.4,336,,
77.2,337,,
81,337,,
85.5,338,,
91.6,339,,
95.4,341,,
99.9,342,,
105,343,,
108,344,,
110,345,,
112,346,,
115,347,,
117,348,,
119,349,,
120,350,,
122,351,,
122,352,,
120,353,,
117,354,,
116,355,,
113,356,,
111,357,,
110,357,,
110,358,,
111,359,,
114,359,,
118,360,,
122,361,,
124,361,,
125,362,,
125,363,,
126,363,,
128,364,,
129,364,,
132,365,,
136,366,,
140,366,,
144,367,,
145,368,,
147,369,,
147,369,,
149,370,,
149,371,,
149,371,,
150,372,,
151,372,,
154,373,,
157,374,,
160,375,,
166,376,,
170,377,,
174,378,,
176,379,,
177,379,,
180,380,,
182,382,,
182,382,,
182,383,,
182,384,,
182,385,,
182,386,,
181,387,,
180,387,,
178,388,,
175,389,,
173,390,,
171,391,,
167,392,,
164,393,,
161,394,,
158,394,,
155,395,,
151,396,,
149,397,,
146,398,,
142,399,,
138,400,,
136,401,,
135,401,,
134,402,,
134,403,,
134,404,,
135,405,,
136,406,,
138,407,,
141,408,,
143,409,,
146,410,,
149,410,,
151,411,,
154,412,,
158,413,,
163,414,,
168,416,,
173,417,,
178,418,,
183,419,,
188,420,,
195,421,,
199,422,,
203,423,,
205,423,,
206,424,,
206,425,,
203,426,,
200,426,,
195,428,,
194,429,,
194,429,,
195,430,,
197,431,,
198,432,,
198,433,,
196,434,,
193,435,,
188,436,,
182,436,,
173,438,,
163,439,,
154,440,,
148,441,,
146,441,,
142,442,,
141,443,,
143,443,,
151,444,,
164,445,,
177,446,,
188,446,,
196,447,,
204,448,,
211,448,,
217,449,,
221,450,,
224,451,,
228,452,,
231,453,,
233,454,,
234,455,,
236,456,,
236,457,,
235,458,,
233,459,,
229,460,,
223,461,,
214,461,,
207,462,,
199,463,,
193,463,,
190,464,,
189,465,,
189,466,,
190,467,,
190,468,,
190,469,,
192,470,,
195,471,,
195,473,,
196,474,,
195,475,,
196,476,,
195,477,,
195,478,,
193,479,,
191,480,,
187,481,,
184,482,,
180,483,,
177,485,,
175,486,,
172,487,,
169,487,,
165,488,,
159,489,,
154,491,,
148,492,,
142,493,,
137,494,,
134,495,,
130,497,,
125,498,,
123,500,,
119,501,,
115,503,,
112,504,,
107,506,,
102,507,,
97.7,508,,
93.9,509,,
90.8,510,,
88.9,512,,
87,513,,
83.6,514,,
79.4,515,,
77.2,516,,
72.6,518,,
69.6,519,,
65.4,520,,
62.7,521,,
58.9,523,,
56.3,524,,
54,526,,
51.7,527,,
49.8,528,,
48.3,529,,
46,531,,
44.5,532,,
43,534,,
41.1,535,,
39.2,537,,
37.3,539,,
36.1,540,,
35.4,541,,
35,542,,
35,543,,
33.9,543,,
31.6,544,,
29.3,546,,
26.6,547,,
22.5,548,,
19.4,549,,
16.8,550,,
16,550,,
