Times,Sea_level
184.5003105,-27.86188194
184.2778185,-25.77402348
184.0552469,-23.70263815
183.8325945,-21.64806179
183.6098599,-19.61065761
183.3870417,-17.59081672
183.1641383,-15.5889588
182.9411478,-13.60553277
182.7180684,-11.64101751
182.4948981,-9.695922671
182.2716345,-7.770789454
182.0482754,-5.866191535
181.8248183,-3.982735979
181.6012605,-2.121064225
181.3775992,-0.281853135
181.1538313,1.534183908
180.9299537,3.32629584
180.7059632,5.093692694
180.481856,6.835544316
180.2576285,8.550979016
180.0332768,10.23908215
179.8087968,11.89889463
179.5841861,13.5298627
179.3594517,15.13368609
179.1346037,16.71274624
178.9096519,18.26937796
178.6846059,19.80587358
178.4594751,21.32448724
178.2342687,22.82743923
178.0089958,24.31692014
177.7836655,25.79509504
177.5582866,27.26410759
177.3328679,28.72608407
177.1074181,30.18313742
176.8819459,31.63737128
176.6564598,33.09088393
176.4309685,34.54577228
176.2054805,36.00413585
175.9800044,37.46808075
175.7545488,38.93972366
175.5291223,40.42119585
175.3037335,41.91459774
175.0783838,43.42002384
174.8530653,44.93489127
174.6277695,46.45644348
174.4024878,47.98193293
174.1772119,49.50861738
173.9519331,51.03375621
173.726643,52.55460672
173.5013331,54.06842043
173.275995,55.57243935
173.0506199,57.06389229
172.8251994,58.53999111
172.5997247,59.99792695
172.3741872,61.43486644
172.1485778,62.84794792
171.9228878,64.23427752
171.6971081,65.59092529
171.4712296,66.91492123
171.2452429,68.20325132
171.0191386,69.4528534
170.7929071,70.66061309
170.5665386,71.82335954
170.3400233,72.93786122
170.1133509,74.00084131
169.8865189,75.01142547
169.6595395,75.97348695
169.4324261,76.89134768
169.2051921,77.76922434
168.9778503,78.61123845
168.7504135,79.42142613
168.5228941,80.20374776
168.2953043,80.96209737
168.0676564,81.7003119
167.8399621,82.42218038
167.6122335,83.13145292
167.3844822,83.83184965
167.15672,84.52706956
166.9289585,85.22079933
166.7012094,85.91672206
166.4734846,86.61852611
166.2457956,87.32991381
166.0181529,88.05416345
165.7905557,88.79152469
165.562999,89.54099594
165.3354777,90.30159817
165.1079868,91.07237707
164.8805214,91.85240093
164.6530767,92.64075858
164.4256479,93.43655734
164.1982302,94.23892105
163.9708189,95.04698816
163.7434092,95.85990975
163.5159964,96.6768477
163.2885759,97.49697281
163.0611428,98.31946295
162.8336923,99.14350125
162.6062198,99.96827427
162.3787202,100.7929702
162.1511887,101.6167771
161.9236236,102.4396376
161.6960485,103.2673614
161.4684991,104.1085244
161.2410109,104.971784
161.0136201,105.865906
160.7863633,106.7998083
160.5592774,107.782604
160.3324007,108.823647
160.1057721,109.9325771
159.8794319,111.1193681
159.6534217,112.3943765
159.427785,113.7683926
159.2025608,115.2511252
158.977721,116.8345535
158.7531994,118.5005788
158.5289372,120.2331005
158.3048829,122.0178033
158.0809907,123.8418693
157.8572266,125.6960672
157.6335666,127.5743334
157.4099873,129.4708017
157.1864654,131.3796411
156.9629779,133.2950449
156.7395017,135.2112188
156.5160137,137.1223703
156.292491,139.0226968
156.0689104,140.906375
155.8452486,142.7675492
155.6214823,144.6003198
155.397588,146.3987323
155.1735416,148.1567654
154.9493192,149.8683194
154.7248962,151.5272041
154.5002478,153.1271275
154.2753487,154.6616827
154.050173,156.124336
153.8246946,157.5084278
153.5989014,158.8111771
153.3728161,160.0391365
153.1464648,161.1998172
152.9198718,162.3003106
152.6930601,163.3473316
152.4660512,164.3472615
152.2388654,165.3061872
152.0115219,166.2299395
151.7840389,167.1241294
151.5564337,167.9941835
151.328723,168.8451705
151.1009219,169.6748046
150.8730438,170.4717124
150.6451021,171.2237703
150.4171093,171.9185888
150.1890779,172.5434395
149.96102,173.0851791
149.7329478,173.5301719
149.5048732,173.864209
149.2768081,174.0724238
