Time Slices,Time slices,Time intervals,Percent_i(%),Percent_m(%),Percent_lm(%),Percent_sm(%),Percent_do(%),Total_Percent(%),Area_i(x10^7 sq.km),Area_m,Area_lm,Area_sm,Area_do,A_E-Land (Al+Amo+Ai),Percent [A_E-Land (%)],A_T-Land (Al+Amo+Ai+Ama),Percent [A_T-Land (%)],R_Flooding (Ama/A_T-Land),A_Earth,Aocean (A_E - A_T-Land)
fig_64_11_2 (6),6,2,1.7893,5.8609,22.1415,11.3266,58.8816,99.9999,0.91,2.99,11.29,5.77,30.03,15.19,0.2978,20.96,0.4109,0.2753,51.0066,30.0466
,,11,1.7893,5.8609,22.1415,11.3266,58.8816,99.9999,0.91,2.99,11.29,5.77,30.03,15.19,0.2978,20.96,0.4109,0.2753,51.0066,30.0466
fig_62_20_11 (14),14,11.0001,1.46,6.94,20.6,13.39,57.61,100,0.74,3.54,10.51,6.83,29.39,14.79,0.29,21.62,0.4239,0.3159,51.0066,29.3866
,,20,1.46,6.94,20.6,13.39,57.61,100,0.74,3.54,10.51,6.83,29.39,14.79,0.29,21.62,0.4239,0.3159,51.0066,29.3866
fig_60_29_20 (22),22,20.0001,1.43,4.75,23.7,14,56.11,99.99,0.73,2.42,12.09,7.14,28.62,15.24,0.2988,22.38,0.4388,0.319,51.0066,28.6266
,,29,1.43,4.75,23.7,14,56.11,99.99,0.73,2.42,12.09,7.14,28.62,15.24,0.2988,22.38,0.4388,0.319,51.0066,28.6266
fig_58_37_29 (33),33,29.0001,1.04,4.99,22.83,14.93,56.21,100,0.53,2.54,11.64,7.61,28.67,14.71,0.2884,22.32,0.4376,0.3409,51.0066,28.6866
,,37,1.04,4.99,22.83,14.93,56.21,100,0.53,2.54,11.64,7.61,28.67,14.71,0.2884,22.32,0.4376,0.3409,51.0066,28.6866
fig_56_49_37 (45),45,37.0001,0,5.32,22.48,15.74,56.47,100.01,0,2.7121,11.4664,8.0261,28.802,14.1785,0.278,22.2046,0.4353,0.3615,51.0066,28.802
,,49,0,5.32,22.48,15.74,56.47,100.01,0,2.7121,11.4664,8.0261,28.802,14.1785,0.278,22.2046,0.4353,0.3615,51.0066,28.802
