Dataset x,Dataset y
6.75E+00,3.03E-02
1.44E+01,8.78E+00
2.23E+01,1.32E+01
3.66E+01,1.15E+01
4.47E+01,1.41E+01
5.31E+01,1.41E+01
6.45E+01,2.09E+01
9.06E+01,2.87E+01
1.10E+02,2.21E+01
1.30E+02,1.12E+01
1.41E+02,1.39E+01
1.56E+02,1.48E+01
1.66E+02,2.21E+01
1.97E+02,8.08E+00
2.25E+02,-2.35E-01
2.38E+02,3.07E+00
2.54E+02,-1.24E+00
2.68E+02,-2.71E+01
2.84E+02,1.38E+01
3.03E+02,9.47E+00
3.28E+02,1.79E+01
3.48E+02,2.88E+01
3.70E+02,2.91E+01
4.01E+02,1.76E+01
4.35E+02,4.56E+01
4.52E+02,3.84E+01
4.72E+02,4.04E+01
5.14E+02,1.82E+01
