Dataset x,Dataset y
4.48E+00,-1.51E-01
1.43E+01,5.13E+00
3.00E+01,4.77E+00
4.81E+01,1.64E+01
6.23E+01,1.27E+01
8.19E+01,3.14E+01
1.19E+02,2.62E+01
1.53E+02,2.51E+01
1.76E+02,2.13E+01
1.97E+02,1.60E+01
2.20E+02,1.69E+01
2.36E+02,1.54E+01
2.43E+02,1.39E+01
2.52E+02,1.48E+01
2.71E+02,1.95E+01
3.40E+02,2.81E+01
3.80E+02,3.72E+01
3.98E+02,2.73E+01
4.15E+02,2.72E+01
4.30E+02,3.87E+01
4.48E+02,3.37E+01
4.68E+02,4.00E+01
4.91E+02,3.62E+01
5.11E+02,3.15E+01
5.30E+02,2.99E+01
5.54E+02,2.63E+01
