Dataset x,Dataset y
3.45E+00,7.36E+00
1.46E+01,1.29E+01
3.02E+01,1.23E+01
4.74E+01,2.41E+01
6.25E+01,2.03E+01
8.24E+01,3.87E+01
1.21E+02,3.36E+01
1.54E+02,3.24E+01
1.75E+02,2.89E+01
1.98E+02,2.37E+01
2.19E+02,2.43E+01
2.35E+02,2.28E+01
2.43E+02,2.16E+01
2.52E+02,2.24E+01
2.73E+02,2.73E+01
3.04E+02,3.16E+01
3.41E+02,3.56E+01
3.68E+02,4.21E+01
3.81E+02,4.49E+01
3.98E+02,3.44E+01
4.15E+02,3.44E+01
4.30E+02,4.63E+01
4.48E+02,4.12E+01
4.68E+02,4.75E+01
4.92E+02,4.36E+01
5.13E+02,3.90E+01
5.30E+02,3.72E+01
5.55E+02,3.36E+01
