Dataset x,Dataset y
9.98E-01,-5.69E-02
1.01E+01,-1.01E+00
1.68E+01,-3.97E+00
2.14E+01,5.14E+00
2.60E+01,-5.16E+00
3.18E+01,6.38E+00
3.61E+01,-6.49E+00
4.19E+01,1.33E+00
4.64E+01,2.29E-01
5.09E+01,3.73E+01
5.70E+01,3.27E+01
6.12E+01,-2.48E-01
6.69E+01,-1.96E+00
7.18E+01,4.42E+00
7.60E+01,4.41E+01
8.18E+01,4.08E+01
8.64E+01,4.34E+01
9.09E+01,2.93E+01
9.61E+01,2.85E+01
1.01E+02,2.51E+01
1.06E+02,1.30E+01
1.12E+02,3.30E+01
1.16E+02,4.03E+01
1.22E+02,3.31E+01
1.31E+02,3.80E+00
1.37E+02,9.95E+00
1.41E+02,5.42E+00
1.52E+02,3.25E+01
1.56E+02,4.00E+01
1.62E+02,4.14E+01
1.66E+02,1.57E+01
1.71E+02,5.57E+00
1.77E+02,6.81E+00
1.81E+02,-1.92E+01
1.85E+02,1.18E+00
1.91E+02,3.14E+00
1.96E+02,-2.54E+01
2.01E+02,-3.22E+01
2.11E+02,-5.06E+00
2.21E+02,1.40E+01
2.31E+02,7.19E+00
2.41E+02,-3.44E+01
2.46E+02,2.23E+00
2.51E+02,2.37E+00
2.56E+02,7.57E+00
2.61E+02,1.70E+01
2.71E+02,2.94E+01
2.76E+02,2.81E+01
2.81E+02,3.66E+01
2.90E+02,4.44E+01
2.96E+02,2.91E+01
3.01E+02,3.16E+01
3.06E+02,3.89E+01
3.11E+02,2.77E+01
3.15E+02,1.92E+01
3.21E+02,2.29E+01
3.30E+02,7.60E+01
3.41E+02,5.04E+01
3.51E+02,8.62E+01
3.61E+02,5.80E+01
3.70E+02,7.71E+01
3.80E+02,7.38E+01
3.91E+02,5.58E+01
3.95E+02,5.52E+01
4.01E+02,4.96E+01
4.10E+02,4.98E+01
4.16E+02,5.26E+01
4.20E+02,6.11E+01
4.26E+02,6.60E+01
4.30E+02,5.39E+01
4.41E+02,3.97E+01
4.45E+02,3.95E+01
4.50E+02,3.28E+01
4.60E+02,4.86E+01
4.70E+02,5.98E+01
4.81E+02,5.91E+01
4.90E+02,4.80E+01
5.00E+02,4.27E+01
5.10E+02,6.18E+01
5.21E+02,3.92E+01
5.30E+02,5.03E+01
5.40E+02,2.92E+01
6.00E+02,1.07E+01
6.89E+02,5.73E+01
7.49E+02,3.46E+01
