Dataset x,Dataset y
3.90E-01,-1.07E+00
5.21E+00,-4.80E+00
1.00E+01,-4.04E+00
1.34E+01,-1.69E+00
2.13E+01,-1.69E+00
3.02E+01,1.57E+00
3.80E+01,8.35E+00
4.57E+01,1.07E+01
4.99E+01,1.10E+01
5.33E+01,1.16E+01
6.00E+01,1.06E+01
7.02E+01,3.98E+01
8.06E+01,3.88E+01
8.60E+01,3.11E+01
8.87E+01,3.07E+01
9.09E+01,2.76E+01
9.53E+01,3.07E+01
1.05E+02,1.98E+01
1.21E+02,1.75E+01
1.30E+02,2.32E+01
1.47E+02,1.88E+01
1.54E+02,1.85E+01
1.56E+02,1.65E+01
1.60E+02,2.05E+01
1.71E+02,1.05E+01
1.81E+02,9.39E+00
2.01E+02,2.08E+00
2.05E+02,-1.59E+00
2.20E+02,1.40E+01
2.38E+02,9.58E+00
2.45E+02,1.29E+01
