Dataset x,Dataset y
1.980374140206E-1,4.277134251120E1
1.379939198381E1,5.456147930054E1
2.716756353765E1,5.487194389449E1
5.036438407308E1,7.126821333278E1
5.873200969599E1,7.155336069063E1
6.970612951359E1,6.874043765914E1
8.845321278663E1,7.264242239437E1
9.439182403931E1,7.448978119246E1
1.005168039222E2,7.454096899062E1
1.186784122320E2,8.094202160495E1
1.308166692964E2,5.868371777412E1
1.526455026426E2,6.021643525968E1
1.663867077548E2,6.424929078357E1
1.952972566072E2,5.612346732474E1
2.155139568483E2,5.726594877398E1
2.372613094726E2,5.752315505970E1
2.557526925252E2,4.328151400224E1
2.774025645835E2,5.371688577689E1
3.065486629322E2,6.066302455501E1
3.417071496759E2,6.729593052053E1
3.596041678581E2,6.679878518482E1
3.769814871863E2,6.687439775783E1
3.893754456125E2,7.374483312800E1
4.329122245732E2,8.035051119597E1
4.968950348911E2,4.842727639884E1
5.139277648523E2,6.591772947379E1
5.483745545306E2,6.776101864865E1
