Time,Time intervals,A_E-Land (Al+Amo+Ai),A_T-Land (Al+Amo+Ai+Ama),Aocean (A_E - A_T-Land)
6,2.00,1.57E+14,2.40E+14,2.70E+14
,11.00,1.57E+14,2.40E+14,2.70E+14
14,11.01,1.57E+14,2.37E+14,2.73E+14
,20.00,1.57E+14,2.37E+14,2.73E+14
22,20.01,1.66E+14,2.52E+14,2.58E+14
,29.00,1.66E+14,2.52E+14,2.58E+14
33,29.01,1.61E+14,2.47E+14,2.63E+14
,37.00,1.61E+14,2.47E+14,2.63E+14
43,37.01,1.46E+14,2.60E+14,2.50E+14
,49.00,1.46E+14,2.60E+14,2.50E+14
53,49.01,1.52E+14,2.76E+14,2.34E+14
,58.00,1.52E+14,2.76E+14,2.34E+14
76,58.01,1.34E+14,2.48E+14,2.62E+14
,81.00,1.34E+14,2.48E+14,2.62E+14
90,81.01,1.28E+14,2.27E+14,2.83E+14
,94.00,1.28E+14,2.27E+14,2.83E+14
105,94.01,1.36E+14,2.68E+14,2.42E+14
,117.00,1.36E+14,2.68E+14,2.42E+14
126,117.01,1.46E+14,2.27E+14,2.83E+14
,135.00,1.46E+14,2.27E+14,2.83E+14
140,135.01,1.36E+14,2.14E+14,2.96E+14
,146.00,1.36E+14,2.14E+14,2.96E+14
152,146.01,1.33E+14,2.62E+14,2.48E+14
,166.00,1.33E+14,2.62E+14,2.48E+14
169,166.01,1.37E+14,2.24E+14,2.86E+14
,179.00,1.37E+14,2.24E+14,2.86E+14
195,179.01,1.30E+14,2.62E+14,2.48E+14
,203.00,1.30E+14,2.62E+14,2.48E+14
218,203.01,1.43E+14,2.45E+14,2.65E+14
,224.00,1.43E+14,2.45E+14,2.65E+14
232,224.01,1.37E+14,2.36E+14,2.74E+14
,248.00,1.37E+14,2.36E+14,2.74E+14
255,248.01,1.22E+14,1.98E+14,3.12E+14
,269.00,1.22E+14,1.98E+14,3.12E+14
277,269.01,1.39E+14,2.16E+14,2.94E+14
,285.00,1.39E+14,2.16E+14,2.94E+14
287,285.01,1.21E+14,2.01E+14,3.09E+14
,296.00,1.21E+14,2.01E+14,3.09E+14
302,296.01,1.18E+14,2.26E+14,2.84E+14
,323.00,1.18E+14,2.26E+14,2.84E+14
328,323.01,1.36E+14,2.53E+14,2.57E+14
,338.00,1.36E+14,2.53E+14,2.57E+14
348,338.01,1.23E+14,2.28E+14,2.82E+14
,359.00,1.23E+14,2.28E+14,2.82E+14
368,359.01,1.08E+14,2.08E+14,3.02E+14
,380.00,1.08E+14,2.08E+14,3.02E+14
396,380.01,9.83E+13,2.18E+14,2.92E+14
,402.00,9.83E+13,2.18E+14,2.92E+14
