Time	A_E-Land (Al+Amo+Ai)	A_T-Land (Al+Amo+Ai+Ama)	Aocean (A_E - A_T-Land)	A_Earth
6	1.57E+14	2.40E+14	5.10E+14	2.70
14	1.57E+14	2.37E+14	5.10E+14	2.73
22	1.66E+14	2.52E+14	5.10E+14	2.58
33	1.61E+14	2.47E+14	5.10E+14	2.63
43	1.46E+14	2.60E+14	5.10E+14	2.50
53	1.52E+14	2.76E+14	5.10E+14	2.34
76	1.34E+14	2.48E+14	5.10E+14	2.62
90	1.28E+14	2.27E+14	5.10E+14	2.83
105	1.36E+14	2.68E+14	5.10E+14	2.42
126	1.46E+14	2.27E+14	5.10E+14	2.83
140	1.36E+14	2.14E+14	5.10E+14	2.96
152	1.33E+14	2.62E+14	5.10E+14	2.48
169	1.37E+14	2.24E+14	5.10E+14	2.86
195	1.30E+14	2.62E+14	5.10E+14	2.48
218	1.43E+14	2.45E+14	5.10E+14	2.65
232	1.37E+14	2.36E+14	5.10E+14	2.74
255	1.22E+14	1.98E+14	5.10E+14	3.12
277	1.39E+14	2.16E+14	5.10E+14	2.94
287	1.21E+14	2.01E+14	5.10E+14	3.09
302	1.18E+14	2.26E+14	5.10E+14	2.84
328	1.36E+14	2.53E+14	5.10E+14	2.57
348	1.23E+14	2.28E+14	5.10E+14	2.82
368	1.08E+14	2.08E+14	5.10E+14	3.02
396	9.83E+13	2.18E+14	5.10E+14	2.92
