Time slices,Time intervals,icesheet,mountains,landmass,shallow marine,deep ocean
6,2,1.08,3.03,8.3,11.6,27
,11,1.08,3.03,8.3,11.6,27
14,11.01,0.82,3.67,7.96,11.2,27.3
,20,0.82,3.67,7.96,11.2,27.3
22,20.01,0.78,2.77,8.64,13,25.8
,29,0.78,2.77,8.64,13,25.8
33,29.01,0.54,3.1,8.62,12.4,26.3
,37,0.54,3.1,8.62,12.4,26.3
43,37.01,0,2.6,11.4,12,25
,49,0,2.6,11.4,12,25
53,49.01,0,2.81,12.4,12.4,23.4
,58,0,2.81,12.4,12.4,23.4
76,58.01,0.14,2.81,11.4,10.5,26.2
,81,0.14,2.81,11.4,10.5,26.2
90,81.01,0,2.38,9.91,10.4,28.3
,94,0,2.38,9.91,10.4,28.3
105,94.01,0,2.11,13.2,11.5,24.2
,117,0,2.11,13.2,11.5,24.2
126,117.01,0,1.96,8.14,12.6,28.3
,135,0,1.96,8.14,12.6,28.3
140,135.01,0,1.82,7.8,11.7,29.6
,146,0,1.82,7.8,11.7,29.6
152,146.01,0,1.61,12.9,11.7,24.8
,166,0,1.61,12.9,11.7,24.8
169,166.01,0,1.21,8.66,12.5,28.6
,179,0,1.21,8.66,12.5,28.6
195,179.01,0,0.7,13.2,12.3,24.8
,203,0,0.7,13.2,12.3,24.8
218,203.01,0,0.52,10.2,13.7,26.5
,224,0,0.52,10.2,13.7,26.5
232,224.01,0,0.57,9.85,13.1,27.4
,248,0,0.57,9.85,13.1,27.4
255,248.01,0,1.46,7.68,10.7,31.2
,269,0,1.46,7.68,10.7,31.2
277,269.01,0,1.06,7.71,12.9,29.4
,285,0,1.06,7.71,12.9,29.4
287,285.01,1.97,1.54,7.96,8.62,30.9
,296,1.97,1.54,7.96,8.62,30.9
302,296.01,3.61,1.24,10.7,6.98,28.4
,323,3.61,1.24,10.7,6.98,28.4
328,323.01,1.66,0.92,11.7,11,25.7
,338,1.66,0.92,11.7,11,25.7
348,338.01,1.27,0.91,10.4,10.1,28.2
,359,1.27,0.91,10.4,10.1,28.2
368,359.01,0.22,0.57,9.97,10,30.2
,380,0.22,0.57,9.97,10,30.2
396,380.01,0,0.63,12,9.2,29.2
,402,0,0.63,12,9.2,29.2
