Time,Values
0.00470812,0.70915162
1.002490453,0.70912056
2.000291381,0.70908887
3.22807942,0.70905905
4.685612827,0.70903918
5.606584025,0.70901246
6.067488024,0.70898513
6.758379134,0.70895965
7.67927595,0.70893543
8.906952416,0.70890934
9.981173972,0.70888635
10.9789563,0.70885529
12.43667567,0.7088292
14.20098872,0.70880746
15.1985851,0.70878261
15.58258499,0.70876273
15.81326013,0.70874161
16.12063484,0.70871986
16.58159463,0.70869066
17.0426288,0.70865897
17.50355139,0.70863101
17.73443109,0.70860305
18.19503174,0.70857404
18.57971558,0.70854501
18.96436839,0.70851702
19.34895915,0.70849111
19.60573564,0.70846104
19.99051255,0.70842891
20.50319681,0.70839781
21.1438815,0.70836463
21.65650371,0.70833561
22.16912592,0.70830658
22.80965547,0.70827859
23.3221846,0.70825268
23.96277621,0.70822262
24.47536739,0.70819463
24.98795857,0.70816664
25.50064283,0.70813554
26.26923486,0.7081034
27.29370363,0.70807127
27.93423319,0.70804328
28.83070154,0.70801322
29.72720091,0.70798213
31.0075154,0.70795103
32.28801605,0.70791372
33.18429824,0.70788988
33.82492087,0.70785878
34.20972881,0.7078256
34.46635018,0.70780072
35.23460092,0.70777999
36.3865737,0.70776238
37.79429913,0.70774891
38.94620986,0.70773336
41.24913158,0.70773234
42.27232829,0.70774272
43.4233703,0.7077562
44.95841358,0.70776347
46.87767531,0.70775726
48.02961707,0.70774068
49.05358943,0.70772514
50.33334546,0.7077127
52.12457574,0.70770961
54.29900062,0.70772725
56.21751773,0.70774592
58.77554054,0.70777082
61.58947113,0.70779468
64.01967967,0.70781544
65.93838294,0.70782789
67.72948912,0.70782894
68.75361661,0.70780821
70.16177639,0.70778023
71.57002925,0.70774913
72.85012656,0.7077253
73.74653286,0.70769731
74.70454181,0.70766138
75.72217018,0.70763255
77.07888473,0.70759823
78.26622057,0.70756116
79.62289402,0.70752821
81.31840707,0.70749801
83.01392012,0.70746781
85.21785696,0.70743624
86.74370364,0.70741291
87.93062853,0.70738957
88.60925292,0.70736348
88.94895552,0.70733739
89.62753882,0.70731268
90.98359584,0.70730033
92.50882609,0.70729759
93.18609434,0.70731682
93.86311602,0.70734429
94.54026098,0.70736764
95.72570644,0.70739374
97.08102375,0.70740611
99.62289609,0.7074075
101.3174229,0.70741026
103.3506248,0.70742126
105.5539042,0.70741166
107.4183028,0.70740068
110.1297182,0.70739933
111.1473466,0.7073705
111.9955962,0.70733892
112.8439281,0.70730459
113.522758,0.70727164
114.0319215,0.70724555
115.5575627,0.70722908
117.4213038,0.70724008
119.4537249,0.70727717
121.3167263,0.70731289
123.1798099,0.70734586
124.704136,0.70737333
126.2281745,0.70741042
127.0745338,0.70744201
127.7517199,0.70746399
129.4460001,0.70747499
131.6491972,0.70746814
133.1750439,0.7074448
133.5147876,0.70741734
134.193412,0.70739125
135.2108759,0.70736791
137.5837805,0.70735282
139.6178866,0.70733361
140.6354739,0.70730615
141.6532255,0.7072732
142.8406025,0.70723476
144.1970294,0.70721005
145.3840775,0.70718259
147.2488871,0.70715789
148.9443591,0.70712906
150.3010736,0.70709474
151.6578292,0.70705904
152.8453295,0.70701648
153.6937846,0.70697803
154.5421576,0.70694233
156.068333,0.70690801
157.4248832,0.70687918
159.4591125,0.70685585
161.6626384,0.70683802
163.8656301,0.70683803
165.3904083,0.7068504
166.0672656,0.70688336
166.744164,0.70691495
166.9126797,0.70694654
167.420035,0.70698087
167.7580527,0.70701109
168.6046585,0.70703444
169.4510589,0.70706465
169.7889122,0.70710036
169.957469,0.70713057
170.2956922,0.70715392
170.2948703,0.70718138
170.4633038,0.70721572
170.8014448,0.70724181
171.139668,0.70726516
171.1390104,0.70728713
171.816402,0.70730224
173.8501793,0.70729401
175.8840799,0.70728167
177.40968,0.70726657
178.2578475,0.70723774
178.9365952,0.70720753
180.2930631,0.70718145
181.1411895,0.70715399
181.9894803,0.70712104
182.8376067,0.70709358
184.0243261,0.70707711
185.210388,0.70708261
185.5487344,0.70710184
186.0562541,0.70713068
186.9026956,0.70715952
187.7488905,0.70719661
188.256328,0.70722819
188.7638888,0.70725566
189.2713263,0.70728725
189.9481425,0.70732159
190.4554567,0.70735729
191.3017749,0.70739026
191.9786322,0.70742322
192.6555717,0.70745344
194.0103136,0.70748503
195.3650145,0.707518
196.3808758,0.70754822
197.3967371,0.70757843
198.5819771,0.7076114
200.2756408,0.707643
201.6305061,0.70767047
203.6633382,0.70769383
205.3570842,0.70772268
206.3730277,0.70775015
207.7278518,0.707779
208.9132973,0.7078051
210.4376234,0.70783257
211.6230278,0.70786004
212.6390946,0.7078834
213.4857004,0.70790675
214.6715979,0.70791774
216.7054163,0.70790814
218.2313452,0.70788206
219.4184345,0.70785323
220.266602,0.7078244
221.1147283,0.70779694
222.1322334,0.70777223
223.4886192,0.70774889
225.0145481,0.70772281
226.8792344,0.70770222
229.0825959,0.70768988
231.286245,0.70766792
232.9815115,0.70764596
234.3380206,0.7076185
236.033246,0.70759792
237.8976035,0.70758832
238.7443326,0.70760755
239.2519345,0.70763364
239.7594953,0.70766111
241.4535289,0.70768035
241.961213,0.7077037
242.4686505,0.70773528
243.3150098,0.70776687
243.8222829,0.70780396
244.6686011,0.70783692
244.8370757,0.70786988
245.3445543,0.70790009
245.8520329,0.70793031
246.3595115,0.70796052
246.5281505,0.70798799
247.7141712,0.70799486
248.901055,0.7079729
249.9192177,0.70792622
250.090158,0.70787678
250.2609339,0.70783284
251.1093891,0.70779439
251.1109918,0.70774084
251.451393,0.7076914
251.6220867,0.7076502
251.9621592,0.70761176
251.9630222,0.70758292
252.1334694,0.70754996
252.134579,0.70751288
252.6439479,0.70747993
252.814354,0.70744835
253.1543032,0.70741402
253.3247093,0.70738243
253.6644941,0.7073536
253.4757572,0.70732356
253.6040946,0.70728951
253.6050517,0.70725753
253.9875629,0.70723896
