,Time Slices,Time intervals,From_age,To_age,bar_width,Ave_age
Cenozoic,fig_64_11_2 (6),6,11,2,9,6.5
,fig_62_20_11 (14),14,20,11,9,15.5
,fig_60_29_20 (22),22,29,20,9,24.5
,fig_58_37_29 (33),33,37,29,8,33
,fig_56_49_37 (43),45,49,37,12,43
,fig_54_58_49 (53),53,58,49,9,53.5
Mesozoic,fig_52_81_58 (76),76,81,58,23,69.5
,fig_50_94_81 (90),90,94,81,13,87.5
,fig_48_117_94 (105),105,117,94,23,105.5
,fig_46_135_117 (126),126,135,117,18,126
,fig_44_146_135 (140),140,146,135,11,140.5
,fig_42_166_146 (152),152,166,146,20,156
,fig_40_179_166 (169),169,179,166,13,172.5
,fig_38_203_179 (195),195,203,179,24,191
,fig_36_224_203 (218),218,224,203,21,213.5
,fig_34_248_224 (232),232,248,224,24,236
Paleozoic,fig_32_269_248 (255),255,269,248,21,258.5
,fig_30_285_269 (277),277,285,269,16,277
,fig_28_296_285 (287),287,296,285,11,290.5
,fig_26_323_296 (302),302,323,296,27,309.5
,fig_24_338_323 (328),328,338,323,15,330.5
,fig_22_359_338 (348),348,359,338,21,348.5
,fig_20_380_359 (368),368,380,359,21,369.5
,fig_18_402_380 (396),396,402,380,22,391
